legal_id,section_id,part_label,title_short,language_code,source_id,legal_title_plain,legal_content_plain_en,legal_title_plain_ms,legal_title_plain_ne,legal_title_plain_bn,legal_title_plain_hi,legal_content_plain_en_ms,legal_content_plain_en_ne,legal_content_plain_en_bn,legal_content_plain_en_hi
11,25A,PART IV,Payment  of wages  other  than  through  financial institution,EN,2,Alternative payment methods,"If you request in writing, your employer can pay you with cash or cheque instead of bank transfer, but needs government approval first.",Kaedah pembayaran alternatif,वैकल्पिक भुक्तानी विधिहरू,বিকল্প অর্থ প্রদানের পদ্ধতি,वैकल्पिक भुगतान विधियाँ,"Jika anda meminta secara bertulis, majikan anda boleh membayar anda dengan wang tunai atau cek bukan pemindahan bank, tetapi memerlukan kelulusan kerajaan terlebih dahulu.","यदि तपाईं लिखित रूपमा अनुरोध गर्नुहुन्छ भने, तपाईंको रोजगारदाताले बैंक स्थानान्तरणको सट्टा नगद वा चेकले तपाईंलाई भुक्तान गर्न सक्दछ, तर सरकारी स्वीकृति चाहिन्छ।","আপনি যদি লিখিতভাবে অনুরোধ করেন তবে আপনার নিয়োগকর্তা আপনাকে ব্যাঙ্ক ট্রান্সফারের পরিবর্তে নগদ বা চেক দিয়ে অর্থ প্রদান করতে পারেন, তবে প্রথমে সরকারী অনুমোদনের প্রয়োজন।","यदि आप लिखित रूप में अनुरोध करते हैं, तो आपका नियोक्ता आपको बैंक हस्तांतरण के बजाय नकद या चेक के साथ भुगतान कर सकता है, लेकिन पहले सरकारी अनुमोदन की आवश्यकता है।"
12,26,PART IV,"with whom wages paid to be spent, illegal",EN,2,Wage spending freedom,"Your employer cannot control where, how, or with whom you spend your wages - any contract rules about this are illegal.",Kebebasan perbelanjaan upah,ज्याला खर्च स्वतन्त्रता,মজুরি ব্যয় স্বাধীনতা,मजदूरी खर्च की स्वतंत्रता,"Majikan anda tidak dapat mengawal di mana, bagaimana, atau dengan siapa anda membelanjakan upah anda - apa -apa peraturan kontrak mengenai perkara ini adalah haram.","तपाईंको रोजगारदाताले जहाँ नियन्त्रण, कसरी वा तपाईंको ज्याला खर्च गर्छन् - यसको बारेमा कुनै पनि अनुबन्ध नियम अवैध छ।","আপনার নিয়োগকর্তা কোথায়, কীভাবে বা কার সাথে আপনার মজুরি ব্যয় করেন তা নিয়ন্ত্রণ করতে পারে না - এ সম্পর্কে কোনও চুক্তির নিয়ম অবৈধ।","आपका नियोक्ता इस बात को नियंत्रित नहीं कर सकता है कि आप अपनी मजदूरी कहाँ, कैसे या किसके साथ खर्च करते हैं - इस बारे में कोई भी अनुबंध नियम अवैध हैं।"
13,27,PART IV,Interest on advances forbidden,EN,2,No interest on wage advances,Your employer cannot charge you interest or fees on wage advances.,Tidak ada minat terhadap pendahuluan upah,ज्याला प्रगतिहरूमा कुनै चासो छैन,মজুরির অগ্রগতিতে কোনও আগ্রহ নেই,मजदूरी अग्रिमों पर कोई ब्याज नहीं,Majikan anda tidak boleh mengenakan faedah atau yuran atas pendahuluan upah.,तपाईंको रोजगारदाताले तपाईंलाई ब्याज चार्ज गर्न सक्दैन वा ज्याला प्रगतिहरूमा शुल्कहरू।,আপনার নিয়োগকর্তা আপনার সুদ বা মজুরির অগ্রগতিতে ফি নিতে পারবেন না।,आपका नियोक्ता आपके लिए वेतन अग्रिमों पर ब्याज या शुल्क नहीं ले सकता है।
14,28,PART IV,Restriction on places at which wages may be paid,EN,2,Prohibited wage payment locations,"Your employer cannot pay your wages at bars, entertainment places, or retail shops (unless you work there).",Lokasi pembayaran gaji yang dilarang,ज्याला भुक्तानी स्थानहरू निषेधित,নিষিদ্ধ মজুরি প্রদানের অবস্থান,निषिद्ध मजदूरी भुगतान स्थान,"Majikan anda tidak dapat membayar upah anda di bar, tempat hiburan, atau kedai runcit (kecuali jika anda bekerja di sana).","तपाईंको रोजगारदाताले तपाईंको ज्याला बारमा, मनोरन्जन स्थानहरू, वा रिटेल शपहरूमा भुक्तान गर्न सक्दैन (जबसम्म तपाईं त्यहाँ काम गर्नुहुन्न)।","আপনার নিয়োগকর্তা বার, বিনোদন স্থান বা খুচরা দোকানগুলিতে আপনার মজুরি দিতে পারবেন না (আপনি যদি সেখানে কাজ না করেন)।","आपका नियोक्ता बार, मनोरंजन स्थानों या खुदरा दुकानों (जब तक आप वहां काम नहीं करते हैं) पर आपकी मजदूरी का भुगतान नहीं कर सकते हैं।"
15,60A,PART XII,Hours of work and working at night,EN,2,Daily and weekly working hour limits,"You cannot work more than 8 hours in one day, 45 hours in one week, or 12 hours in any single day even in emergencies; you must get at least 30 minutes break after 5 continuous hours of work.",Had jam kerja harian dan mingguan,दैनिक र हप्ताको काम गर्ने घण्टाको सीमा,দৈনিক এবং সাপ্তাহিক কাজের ঘন্টা সীমা,दैनिक और साप्ताहिक काम के घंटे की सीमा,"Anda tidak boleh bekerja lebih dari 8 jam dalam satu hari, 45 jam dalam satu minggu, atau 12 jam dalam mana -mana hari walaupun dalam keadaan kecemasan; Anda mesti mendapatkan sekurang -kurangnya 30 minit selepas 5 jam kerja yang berterusan.","तपाईं एक दिनमा hours 45 घण्टामा hours घण्टा भन्दा बढी काम गर्न सक्नुहुन्न, वा कुनै पनि दिनमा अविश्वासमा। तपाईंले कम्तिमा minutes0 मिनेट ब्रेक पछि minutes0 मिनेट बिच्छेद गर्नै पर्छ।","আপনি একদিনে 8 ঘন্টা, এক সপ্তাহে 45 ঘন্টা বা কোনও এক দিনে 12 ঘন্টা এমনকি জরুরী পরিস্থিতিতেও কাজ করতে পারবেন না; 5 অবিচ্ছিন্ন কাজের পরে আপনাকে অবশ্যই কমপক্ষে 30 মিনিটের বিরতি পেতে হবে।","आप एक दिन में 8 घंटे से अधिक, एक सप्ताह में 45 घंटे, या आपात स्थिति में भी किसी भी एक दिन में 12 घंटे काम नहीं कर सकते; 5 घंटे के काम के बाद आपको कम से कम 30 मिनट का ब्रेक लेना होगा।"
16,60A(3),PART XII,Hours of work and working at night,EN,2,Standard overtime pay rate,"For overtime work, you must be paid at least 1.5 times your normal hourly rate.",Kadar gaji lebih masa standard,मानक ओभरटाइम तलब दर,স্ট্যান্ডার্ড ওভারটাইম বেতন হার,मानक ओवरटाइम वेतन दर,"Untuk kerja lebih masa, anda mesti dibayar sekurang -kurangnya 1.5 kali kadar setiap jam biasa anda.","ओभरटाइम कार्यको लागि, तपाईंलाई कम्तिमा 1.5 times पटक तपाईंको सामान्य घण्टाको दरमा तिर्नु पर्छ।","ওভারটাইম কাজের জন্য, আপনাকে অবশ্যই আপনার স্বাভাবিক প্রতি ঘন্টা হার কমপক্ষে 1.5 গুণ দিতে হবে।","ओवरटाइम काम के लिए, आपको अपनी सामान्य प्रति घंटा दर कम से कम 1.5 गुना कम से कम भुगतान किया जाना चाहिए।"
17,31,PART VI,Priority of wages over other debts,EN,2,Wage priority in bankruptcy,"If your employer's property is sold or seized, your unpaid wages must be paid first before other debts.",Keutamaan gaji dalam muflis,दिवालियापन मा मजदूरी प्राथमिकता,দেউলিয়ার মধ্যে মজুরির অগ্রাধিকার,दिवालियापन में मजदूरी प्राथमिकता,"Jika harta majikan anda dijual atau disita, upah yang tidak dibayar anda mesti dibayar terlebih dahulu sebelum hutang lain.","यदि तपाइँको रोजगारदाताको सम्पत्ति बेचिन्छ वा पक्राउ गरिन्छ भने, तपाईंको भुक्तानी नगरिएका ज्यालाहरू अन्य debt ण अघि पहिले भुक्तान गर्नुपर्दछ।",যদি আপনার নিয়োগকর্তার সম্পত্তি বিক্রি বা জব্দ করা হয় তবে আপনার অবৈতনিক মজুরি অবশ্যই অন্যান্য debts ণের আগে প্রথমে প্রদান করতে হবে।,"यदि आपके नियोक्ता की संपत्ति बेची या जब्त की जाती है, तो आपके अवैतनिक मजदूरी को अन्य ऋणों से पहले भुगतान किया जाना चाहिए।"
18,33,PART VII,Liability of principals and contractors for wages,EN,2,Joint contractor liability for wages,"If contractors owe you wages, both the main contractor and subcontractor are responsible for paying you.",Liabiliti kontraktor bersama untuk upah,ज्यालाका लागि संयुक्त ठेकेदार दायित्व,মজুরির জন্য যৌথ ঠিকাদার দায়বদ্ধতা,मजदूरी के लिए संयुक्त ठेकेदार देयता,"Sekiranya kontraktor berhutang kepada anda, kedua -dua kontraktor utama dan subkontraktor bertanggungjawab untuk membayar anda.","यदि ठेकेदारहरूले तपाईंको ज्याला ow णी छन् भने, मुख्य ठेकेदार र उप Conce ्ग्रेक्टरेटर दुबैलाई भुक्तान गर्न जिम्मेवार छन्।",যদি ঠিকাদাররা আপনার মজুরি দেয় তবে প্রধান ঠিকাদার এবং সাবকন্ট্রাক্টর উভয়ই আপনাকে অর্থ প্রদানের জন্য দায়বদ্ধ।,"यदि ठेकेदार आपको मजदूरी देते हैं, तो मुख्य ठेकेदार और उपमहाद्वीप दोनों आपको भुगतान करने के लिए जिम्मेदार हैं।"
19,41,PART IX,Payment of allowance to nominee,EN,2,Maternity allowance payment delegation,Female employees can choose someone else to receive their maternity allowance payments on their behalf.,Delegasi Pembayaran Elaun Bersalin,मातृत्व भत्ता भुक्तानी प्रतिनिधिमण्डल,প্রসূতি ভাতা প্রদানের প্রতিনিধি,मातृत्व भत्ता भुगतान प्रतिनिधिमंडल,Pekerja wanita boleh memilih orang lain untuk menerima pembayaran elaun bersalin mereka bagi pihak mereka.,महिला कर्मचारीहरूले आफ्नो तर्फबाट आफ्नो मातृत्व भत्ता भुक्तानी प्राप्त गर्न कसैलाई छनौट गर्न सक्दछन्।,মহিলা কর্মীরা তাদের পক্ষ থেকে তাদের প্রসূতি ভাতা প্রদানের জন্য অন্য কাউকে বেছে নিতে পারেন।,महिला कर्मचारी अपनी ओर से अपने मातृत्व भत्ता भुगतान प्राप्त करने के लिए किसी और को चुन सकते हैं।
20,59,PART XII,Rest day,EN,2,Weekly rest day entitlement,You must get at least one full rest day each week.,Kelayakan hari rehat mingguan,साप्ताहिक आराम दिनको हक,সাপ্তাহিক বিশ্রাম দিনের এনটাইটেলমেন্ট,साप्ताहिक आराम दिवस हक,Anda mesti mendapat sekurang -kurangnya satu hari rehat penuh setiap minggu.,तपाईंले प्रत्येक हप्ता कम्तिमा एक पूर्ण आराम दिन पाउनु पर्छ।,আপনাকে অবশ্যই প্রতি সপ্তাহে কমপক্ষে একটি পূর্ণ বিশ্রাম দিন পেতে হবে।,आपको प्रत्येक सप्ताह कम से कम एक पूर्ण दिन प्राप्त करना होगा।
21,60(1),PART XII,Work on rest day,EN,2,Rest day work restrictions,You cannot be forced to work on your rest day unless it's continuous work that cannot be stopped.,Sekatan kerja hari rehat,आराम दिन काम प्रतिबन्धहरू,বিশ্রাম দিন কাজের সীমাবদ্ধতা,बाकी दिन काम प्रतिबंध,Anda tidak boleh dipaksa untuk bekerja pada hari rehat anda kecuali kerja berterusan yang tidak dapat dihentikan.,तपाईं आफ्नो विश्राम दिन काम गर्न बाध्य हुन सक्नुहुन्न जबसम्म यो निरन्तर काम गर्न सकिदैन।,আপনার বিশ্রামের দিনে কাজ করতে বাধ্য হতে পারে না যদি না এটি অবিচ্ছিন্ন কাজ বন্ধ করা যায় না।,आपको अपने आराम के दिन काम करने के लिए मजबूर नहीं किया जा सकता है जब तक कि यह निरंतर काम न हो जिसे रोका नहीं जा सकता।
22,60(3),PART XII,Work on rest day,EN,2,Rest day work pay rates,"If you work on rest day: for half day or less, you get normal daily pay; for more than half day, you get 2 days' pay; for overtime on rest day, you get at least 2 times your hourly rate.",Kadar gaji kerja hari rehat,आराम दिन काम भुक्तान दरहरू,বিশ্রাম দিন কাজের বেতন হার,बाकी दिन कार्य वेतन दर,"Jika anda bekerja pada hari rehat: selama setengah hari atau kurang, anda mendapat gaji harian biasa; Selama lebih dari setengah hari, anda mendapat gaji 2 hari; Untuk lebih masa pada hari rehat, anda mendapat sekurang -kurangnya 2 kali kadar setiap jam anda.","यदि तपाईं आराम दिन मा काम गर्नुहुन्छ: आधा दिन वा कमको लागि, तपाईं सामान्य तलब प्राप्त गर्नुहुन्छ; आधा दिन भन्दा बढीको लागि, तपाईं 2 दिन 'तलब प्राप्त गर्नुहुन्छ; विश्राम दिन मा ओभरटाइम को लागी, तपाईं कम्तिमा 2 पटक आफ्नो घण्टाको दरमा प्राप्त गर्नुहुन्छ।","আপনি যদি বিশ্রামের দিনে কাজ করেন: অর্ধ দিন বা তারও কম সময়ের জন্য, আপনি সাধারণ দৈনিক বেতন পান; অর্ধ দিনেরও বেশি সময় ধরে, আপনি 2 দিনের বেতন পাবেন; বিশ্রামের দিনে ওভারটাইমের জন্য, আপনি আপনার প্রতি ঘন্টা হার কমপক্ষে 2 বার পাবেন।","यदि आप आराम दिवस पर काम करते हैं: आधे दिन या उससे कम के लिए, आपको सामान्य दैनिक वेतन मिलता है; आधे से अधिक दिन के लिए, आपको 2 दिन का वेतन मिलता है; आराम के दिन ओवरटाइम के लिए, आपको अपनी प्रति घंटा की दर कम से कम 2 गुना मिलता है।"
23,60B,SECTION i,Task  work,EN,2,Task-based payment agreements,Your employer can agree to pay you based on tasks completed instead of daily or hourly rates.,Perjanjian pembayaran berasaskan tugas,टास्क-आधारित भुक्तान सम्झौता,টাস্ক-ভিত্তিক অর্থ প্রদানের চুক্তি,कार्य-आधारित भुगतान समझौते,Majikan anda boleh bersetuju untuk membayar anda berdasarkan tugas yang diselesaikan dan bukannya kadar harian atau setiap jam.,तपाईंको रोजगारदाताले तपाईंलाई दैनिक वा घनिल दरहरूको सट्टामा सम्मको कार्यहरूमा आधारित भुक्तान गर्न सहमत हुन सक्छ।,আপনার নিয়োগকর্তা দৈনিক বা প্রতি ঘন্টা হারের পরিবর্তে সম্পন্ন কাজের ভিত্তিতে আপনাকে অর্থ প্রদান করতে সম্মত হতে পারেন।,आपका नियोक्ता दैनिक या प्रति घंटा दरों के बजाय पूरा किए गए कार्यों के आधार पर आपको भुगतान करने के लिए सहमत हो सकता है।
24,60I,PART IX,Interpretation,EN,2,Hourly rate calculation method,"Your hourly rate is calculated by dividing your monthly pay by 26 days, or weekly pay by 6 days.",Kaedah pengiraan kadar setiap jam,प्रति घण्टा दर गणना विधि,প্রতি ঘন্টা হার গণনা পদ্ধতি,प्रति घंटा दर गणना पद्धति,"Kadar setiap jam anda dikira dengan membahagikan gaji bulanan anda sebanyak 26 hari, atau gaji mingguan sebanyak 6 hari.","तपाईंको प्रति घण्टा दर तपाईंको मासिक भुक्तान 2 26 दिनसम्म विभाजन गरेर गणना गरिन्छ, वा हप्तामा साप्ताहिक भुक्तान 6 दिनसम्म भुक्तान गरिन्छ।",আপনার প্রতি ঘন্টা হার আপনার মাসিক বেতন 26 দিনের মধ্যে ভাগ করে বা সাপ্তাহিক বেতন 6 দিনের মধ্যে ভাগ করে গণনা করা হয়।,"आपकी प्रति घंटा की दर की गणना आपके मासिक वेतन को 26 दिनों से विभाजित करके, या साप्ताहिक वेतन 6 दिनों से की जाती है।"
25,60P,PART XII,Flexible working arrangement,EN,2,Flexible work arrangement applications,"You can apply to your employer for flexible working hours, days, or workplace arrangements.",Aplikasi susunan kerja yang fleksibel,लचिलो काम व्यवस्था आवेदन,নমনীয় কাজের ব্যবস্থা অ্যাপ্লিকেশন,लचीला कार्य व्यवस्था अनुप्रयोग,"Anda boleh memohon kepada majikan anda untuk waktu kerja, hari, atau pengaturan tempat kerja yang fleksibel.","तपाईं आफ्नो रोजगारदातालाई लचिलो काम घण्टा, दिन, वा कार्यस्थल व्यवस्थाको लागि आवेदन दिन सक्नुहुन्छ।","আপনি আপনার নিয়োগকর্তাকে নমনীয় কাজের সময়, দিন বা কর্মক্ষেত্রের ব্যবস্থার জন্য আবেদন করতে পারেন।","आप अपने नियोक्ता को लचीले काम के घंटों, दिनों या कार्यस्थल की व्यवस्था के लिए आवेदन कर सकते हैं।"
