org_name,service_type,org_email,org_descr_en,state_name,org_url,org_phone_no,org_address,operation_hour,org_en,tag,org_en_ms,org_en_ne,org_en_bn,org_en_hi,org_descr_en_bn,org_descr_en_ms,org_descr_en_hi,org_descr_en_ne,tag_ms,tag_ne,tag_bn,tag_hi,service_type_ms,service_type_ne,service_type_bn,service_type_hi
Malaysian Red Crescent Society (Johor),Health & Wellbeing,johor@redcrescent.org.my,"First aid, ambulance support, disaster relief and community training (branch services vary).",Johor,https://www.facebook.com/redcrescentjb/,+607-223 8354,"66 Jalan Yahya Awal, Johor Bahru, Malaysia",Monday-Friday 08:30-17:30; Saturday 08:30-13:00,Malaysian Red Crescent Society (Johor),"first aid, ambulance, disaster relief, training",Persatuan Bulan Sabit Merah Malaysia (Johor),मलेशियन रेड क्रसार्सेन्ट सोसाइज (जोहि) (Malaysian Red Crescent Society (Johor)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (জোহর) (Malaysian Red Crescent Society (Johor)),मलेशियाई रेड क्रिसेंट सोसाइटी (जोहोर) (Malaysian Red Crescent Society (Johor)),"প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স সমর্থন, দুর্যোগ ত্রাণ এবং সম্প্রদায় প্রশিক্ষণ (শাখা পরিষেবাগুলি পরিবর্তিত হয়)।","Pertolongan cemas, sokongan ambulans, pelepasan bencana dan latihan komuniti (perkhidmatan cawangan berbeza -beza).","प्राथमिक चिकित्सा, एम्बुलेंस समर्थन, आपदा राहत और सामुदायिक प्रशिक्षण (शाखा सेवाएं अलग -अलग)।","प्राथमिक उपचार, एम्बुलेन्स समर्थन, प्रकोप राहत र सामुदायिक प्रशिक्षण (शाखा सेवा फरक)।","pertolongan cemas, ambulans, bantuan bencana, latihan","प्राथमिक उपचार, एम्बुलेन्स, प्रकोप आराम, प्रशिक्षण","প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, প্রশিক্ষণ","प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, प्रशिक्षण",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Jabatan Bantuan Guaman Ibu Pejabat (JBG) ,Legal Aid,fuad.aziz@jbg.gov.my,"Headquarters for legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Putrajaya Federal Territory,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+603-8885 1827,"Aras 1, Bangunan Hal Ehwal Undang Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692, Wilayah Persekutuan Putrajaya.",Monday-Friday 08:30-16:00,Legal Aid Department Headquarters (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Ibu Pejabat (JBG),कानूनी सहायता विभाग मुख्यालय (जागातान बान्टुआन गुम्बान ISB पीवेबाट (JBG)) (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),আইনী সহায়তা বিভাগের সদর দফতর (জাবাতান বান্টুয়ান গুয়ামান ইবু পেজাবাত (জেবিজি)) (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),कानूनी सहायता विभाग मुख्यालय (Jabatan Bantuan Guaman Ibu Pejabat (JBG)) (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),জাতীয়তা নির্বিশেষে আইনী সহায়তা এবং ফৌজদারি মামলায় শিশুদের জন্য উদীয়মান পাবলিক ডিফেন্সের সদর দফতর (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Ibu Pejabat Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","कानूनी सहायता और आपराधिक मामलों में बच्चों के लिए उभरते सार्वजनिक रक्षा के लिए मुख्यालय, राष्ट्रीयता की परवाह किए बिना (2025 कानून अपडेट के अनुसार); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायताको लागि मुख्यालयको लागि मुख्यालयको लागि, देशगतताको पर्वाह नगरीकनै, राष्ट्रियताका लागि (प्रति 20225 कानून अपडेट)। jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Yayasan Bantuan Guaman Kebangsaan (YBGK),Legal Aid,ybgk.kl@gmail.com,Free criminal legal aid for Malaysian citizens and non-citizens under 18; referrals to duty lawyers at police/court.,Kuala Lumpur Federal Territory,https://www.ybgk.org.my/,+603-2692 1122,"Unit 3.03, Tingkat 3, Wisma Badan Peguam Malaysia 2, Leboh Pasar Besar,50000 Kuala Lumpur",Monday-Friday 08:30-17:30,National Legal Aid Foundation (Yayasan Bantuan Guaman Kebangsaan (YBGK)),"legal aid, children, under 18, criminal, free, referrals",Yayasan Bantuan Guaman Kebangsaan (YBGK),राष्ट्रिय वैधानिक सहायता फाउन्डेशन (याय्वान बान्टुआन गुम्बानन (YBGK)) (Yayasan Bantuan Guaman Kebangsaan (YBGK)),জাতীয় আইনী এইড ফাউন্ডেশন (ইয়াসান বান্টুয়ান গুয়ামান কেবাংসান (ওয়াইবিজিকে)) (Yayasan Bantuan Guaman Kebangsaan (YBGK)),नेशनल लीगल एड फाउंडेशन (यायासन बंटुआन गुआमन केबांगसन (YBGK)) (Yayasan Bantuan Guaman Kebangsaan (YBGK)),মালয়েশিয়ার নাগরিক এবং 18 বছরের কম বয়সী নাগরিকদের জন্য বিনামূল্যে ফৌজদারি আইনী সহায়তা; পুলিশ/আদালতে ডিউটি ​​আইনজীবীদের কাছে রেফারেলস।,Bantuan undang-undang jenayah percuma untuk warga Malaysia dan bukan warganegara di bawah 18 tahun; Rujukan kepada peguam tugas di polis/mahkamah.,मलेशियाई नागरिकों और 18 से कम गैर-नागरिकों के लिए नि: शुल्क आपराधिक कानूनी सहायता; पुलिस/अदालत में ड्यूटी वकीलों के लिए रेफरल।,मलेशियन नागरिक र गैर-नागरिकहरूको लागि नि: शुल्क फौज्य वैधानिक सहायता; पुलिस / अदालतमा कर्तव्यहरू कर्तव्यहरू।,"Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, percuma, rujukan","कानूनी सहायता, बच्चाहरू, 1 18 बर्ष भन्दा कम, आपराधिक, नि: शुल्क, रेफरलहरू","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, অপরাধী, বিনামূল্যে, রেফারেল","कानूनी सहायता, बच्चे, 18 वर्ष से कम, आपराधिक, मुक्त, रेफरल",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur,Legal Aid,sazlinidayu@jbggov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Kuala Lumpur Federal Territory,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+603-2694 2700,"Tingkat 28, Menara TH Perdana,,1001 Jalan Sultan Ismail, 50250 Kuala Lumpur.",Monday-Thursday 09:00-12:30 and 14:00-15:30; Friday 09:00-12:00 and 14:45-15:30,Legal Aid Department Wilayah Persekutuan Kuala Lumpur (Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur,कानूनी सहायता विभाग विलाियोन चुहावट कुलापुर (जाबेटान बान्तीन गुन्सुन कुनेखुण कुनेखुक कुमाल कुमाउर) (Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur),আইনী সহায়তা বিভাগ (Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur),कानूनी सहायता विभाग विलायह पर्सेकुटुआन कुआलालंपुर (जबटन बंटुआन गुआमन विलयाहहसुत्तुआन कुआलालंपुर) (Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan undang -undang & pertahanan awam yang baru muncul untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Selangor,Legal Aid,anisah.nor@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Selangor,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+603-5545 3398,"Lot F-50, Tingkat 1, Pusat Komersial Ideal Convention Centre (IDCC), Jalan Pahat L 15/L, Seksyen 15, 40200 Shah Alam, Selangor",Monday-Thursday 08:00-13:00 and 14:00-17:00; Friday 08:00-12:15 and 14:45-17:00,Legal Aid Department Selangor (Jabatan Bantuan Guaman Selangor),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Selangor,कानूनी सहायता विभाग संभागले (जाबुटन बान्टुआन गुमान स्मार्ग) (Jabatan Bantuan Guaman Selangor),আইনী সহায়তা বিভাগ সেলেঙ্গর (জাবাতান বান্টুয়ান গুয়ামান সেলেঙ্গর) (Jabatan Bantuan Guaman Selangor),लीगल एड डिपार्टमेंट सेलांगोर (जबटन बंटुआन गुआमन सेलांगोर) (Jabatan Bantuan Guaman Selangor),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan undang -undang & pertahanan awam yang baru muncul untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Negeri Sembilan,Legal Aid,hanis.jamilludin@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Negeri Sembilan,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+606-763 0457,"Tingkat 7, Wisma Persekutuan, Jalan Dato' Abdul Kadir, 70000 SEREMBAN, NEGERI SEMBILAN",Monday-Friday 09:00-17:00,Legal Aid Department Negeri Sembilan (Jabatan Bantuan Guaman Negeri Sembilan),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Negeri Sembilan,कानूनी सहायता विभाग नागोरी सेम्बाइन (जागातान बन्टुआन गुआम नाउँने नामानी सेम्बालि)) (Jabatan Bantuan Guaman Negeri Sembilan),আইনী সহায়তা বিভাগ নেগেরি সেম্বিলান (জাবাতান বান্টুয়ান গুয়ামান নেগেরি সেম্বিলান) (Jabatan Bantuan Guaman Negeri Sembilan),लीगल एड डिपार्टमेंट नेगेरी सेम्बिलन (जाबातन बंटुआन गुआमन नेगेरी सेम्बिलन) (Jabatan Bantuan Guaman Negeri Sembilan),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Melaka,Legal Aid,qaiyyum@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Malacca,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+606-234 5277,"Tingkat 6, Menara Persekutuan, Jalan Persekutuan, MITC, Hang Tuah Jaya, 75450 Ayer Keroh, MELAKA",Monday-Thursday 08:30-13:00 and 14:00-16:30; Friday 08:00-12:15 and 14:45-16:30,Legal Aid Department Malacca (Jabatan Bantuan Guaman Melaka),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Melaka,कानूनी सहायता विभाग मलाका (जागातान बन्टुआन गुडान मेलाका) (Jabatan Bantuan Guaman Melaka),আইনী সহায়তা বিভাগ মালাক্কা (জাবাতান বান্টুয়ান গুয়ামান মেলাকা) (Jabatan Bantuan Guaman Melaka),लीगल एड डिपार्टमेंट मलक्का (जबटन बंटुआन गुआमन मेलाका) (Jabatan Bantuan Guaman Melaka),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan undang -undang & pertahanan awam yang baru muncul untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Johor,Legal Aid,aidatulazura@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Johor,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+607-223 4960,"Lot L4-01, Tingkat 4, Menara Landmark, No.12, Jalan Ngee Heng, 80000 Johor Baharu, JOHOR",Sunday-Wednesday 08:00-16:00; Thursday 08:00-15:30,Legal Aid Department Johor (Jabatan Bantuan Guaman Johor),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Johor,कानूनी सहायता विभाग जोहो (जागातान बन्टुआन गुआन जोहो) (Jabatan Bantuan Guaman Johor),আইনী সহায়তা বিভাগ জোহর (জাবাতান বান্টুয়ান গুয়ামান জোহর) (Jabatan Bantuan Guaman Johor),कानूनी सहायता विभाग जोहोर (जबटन बंटुआन गुआमन जोहोर) (Jabatan Bantuan Guaman Johor),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan undang -undang & pertahanan awam yang baru muncul untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Muar,Legal Aid,khir.nizam@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Johor,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+606-952 2410,"Lot 2, Tingkat Mezzanine, Bangunan Muar Trade Centre, No. 16, Jalan Petrie, 84000 Muar, JOHOR",Sunday-Wednesday 08:00-17:00; Thursday 08:00-15:00,Legal Aid Department Muar (Jabatan Bantuan Guaman Muar),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Muar,कानूनी सहायता विभाग Mur (जागातान बन्टुआन गुआन मुआहर) (Jabatan Bantuan Guaman Muar),আইনী সহায়তা বিভাগ মুয়ার (জাবাতান বান্টুয়ান গুয়ামান মুয়ার) (Jabatan Bantuan Guaman Muar),कानूनी सहायता विभाग मुर (जबटन बंटुआन गुआमन मुर) (Jabatan Bantuan Guaman Muar),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Pahang,Legal Aid,zulfazliah.mahmudjbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Pahang,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+609-516 1135,"Tingkat 8, Wisma Persekutuan, Jalan Gambut, PAHANG",Sunday-Wednesday 09:00-17:30; Thursday 09:00-11:30,Legal Aid Department Pahang (Jabatan Bantuan Guaman Pahang),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Pahang,कानूनी सहायता विभाग Phahant (जाबेटन बन्टुआन गुआनौन pahag) (Jabatan Bantuan Guaman Pahang),আইনী সহায়তা বিভাগ পাহাং (জাবাতান বান্টুয়ান গুয়ামান পাহাং) (Jabatan Bantuan Guaman Pahang),लीगल एड डिपार्टमेंट पाहंग (जबटन बंटुआन गुआमन पाहंग) (Jabatan Bantuan Guaman Pahang),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan undang -undang & pertahanan awam yang baru muncul untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
