option_id,option_text_en,option_order,option_explanation_text_en,is_correct,question_id,answer_id,result_id,user_id,topic_id,legal_topic_mapping_id,option_explanation_text_en_ms,option_explanation_text_en_ne,option_explanation_text_en_bn,option_explanation_text_en_hi
11,8,A,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11,"Tidak betul - Sekurang -kurangnya 11 cuti umum dibayar, termasuk 5 orang mandatori.","गलत - कम्तिमा 11 भुक्तान गरिएको सार्वजनिक बिदाहरू, wor अनिवार्य व्यक्ति सहित।",ভুল - 5 টি বাধ্যতামূলক সহ কমপক্ষে 11 টি পাবলিক হলিডে অর্থ প্রদান করা হয়েছে।,"गलत - कम से कम 11 भुगतान सार्वजनिक अवकाश, जिसमें 5 अनिवार्य शामिल हैं।"
12,10,B,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11,"Tidak betul - Sekurang -kurangnya 11 cuti umum dibayar, termasuk 5 orang mandatori.","गलत - कम्तिमा 11 भुक्तान गरिएको सार्वजनिक बिदाहरू, wor अनिवार्य व्यक्ति सहित।",ভুল - 5 টি বাধ্যতামূলক সহ কমপক্ষে 11 টি পাবলিক হলিডে অর্থ প্রদান করা হয়েছে।,"गलत - कम से कम 11 भुगतान सार्वजनिक अवकाश, जिसमें 5 अनिवार्य शामिल हैं।"
13,11,C,"Correct - At least 11 paid public holidays, including 5 mandatory ones.",True,4,,,,1,11,"Betul - Sekurang -kurangnya 11 cuti umum dibayar, termasuk 5 orang mandatori.","सही - कम्तिमा 11 भुक्तान गरिएको सार्वजनिक बिदाहरू, 5 अनिवार्य व्यक्ति सहित।",সঠিক - 5 টি বাধ্যতামূলক সহ কমপক্ষে 11 প্রদত্ত পাবলিক ছুটি।,"सही - कम से कम 11 भुगतान सार्वजनिक अवकाश, जिसमें 5 अनिवार्य शामिल हैं।"
14,12,D,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11,"Tidak betul - Sekurang -kurangnya 11 cuti umum dibayar, termasuk 5 orang mandatori.","गलत - कम्तिमा 11 भुक्तान गरिएको सार्वजनिक बिदाहरू, wor अनिवार्य व्यक्ति सहित।",ভুল - 5 টি বাধ্যতামূলক সহ কমপক্ষে 11 টি পাবলিক হলিডে অর্থ প্রদান করা হয়েছে।,"गलत - कम से कम 11 भुगतान सार्वजनिक अवकाश, जिसमें 5 अनिवार्य शामिल हैं।"
15,60,A,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1,Tidak betul - Lebih masa dihadkan pada 104 jam/bulan.,गलत - ओभरटाइम 104 घण्टा / महिनामा क्याप गरिएको छ।,ভুল - ওভারটাইম 104 ঘন্টা/মাসে ক্যাপ করা হয়।,गलत - ओवरटाइम 104 घंटे/माह पर छाया हुआ है।
16,80,B,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1,Tidak betul - Lebih masa dihadkan pada 104 jam/bulan.,गलत - ओभरटाइम 104 घण्टा / महिनामा क्याप गरिएको छ।,ভুল - ওভারটাইম 104 ঘন্টা/মাসে ক্যাপ করা হয়।,गलत - ओवरटाइम 104 घंटे/माह पर छाया हुआ है।
17,104,C,Correct - Overtime is capped at 104 hours/month.,True,5,,,,1,1,Betul - Lebih masa dihadkan pada 104 jam/bulan.,सही - ओभरटाइम 104 घण्टा / महिनामा क्याप गरिएको छ।,সঠিক - ওভারটাইম 104 ঘন্টা/মাসে ক্যাপড হয়।,सही - ओवरटाइम 104 घंटे/माह पर छाया हुआ है।
18,120,D,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1,Tidak betul - Lebih masa dihadkan pada 104 jam/bulan.,गलत - ओभरटाइम 104 घण्टा / महिनामा क्याप गरिएको छ।,ভুল - ওভারটাইম 104 ঘন্টা/মাসে ক্যাপ করা হয়।,गलत - ओवरटाइम 104 घंटे/माह पर छाया हुआ है।
19,Yes,A,Incorrect - A 30-minute break is required after 5 continuous hours.,False,6,,,,1,3,Tidak betul - Cuti selama 30 minit diperlukan selepas 5 jam berterusan.,गलत - एक -0-मिनेट ब्रेक etterety अविरल पछि one0 मिनेटको ब्रेक आवश्यक छ।,ভুল - 5 অবিচ্ছিন্ন ঘন্টা পরে 30 মিনিটের বিরতি প্রয়োজন।,गलत - 5 निरंतर घंटों के बाद 30 मिनट के ब्रेक की आवश्यकता होती है।
20,No,B,Correct - A 30-minute break is required after 5 continuous hours.,True,6,,,,1,3,Betul - Cuti selama 30 minit diperlukan selepas 5 jam berterusan.,सही - एक -0 मिनेट ब्रेक etterety लगातार afteretimes घण्टा पछि आवश्यक छ।,সঠিক - 5 অবিচ্ছিন্ন ঘন্টা পরে 30 মিনিটের বিরতি প্রয়োজন।,सही - 5 निरंतर घंटों के बाद 30 मिनट का ब्रेक आवश्यक है।
21,30%,A,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2,Tidak betul - jumlah potongan tidak boleh melebihi 50% upah bulanan.,गलत - कुल प्रतिष्ठा मासिक ज्याला को 50% भन्दा बढी हुन सक्दैन।,ভুল - মোট ছাড়গুলি মাসিক মজুরির 50% এর বেশি হতে পারে না।,गलत - कुल कटौती मासिक मजदूरी के 50% से अधिक नहीं हो सकती है।
22,40%,B,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2,Tidak betul - jumlah potongan tidak boleh melebihi 50% upah bulanan.,गलत - कुल प्रतिष्ठा मासिक ज्याला को 50% भन्दा बढी हुन सक्दैन।,ভুল - মোট ছাড়গুলি মাসিক মজুরির 50% এর বেশি হতে পারে না।,गलत - कुल कटौती मासिक मजदूरी के 50% से अधिक नहीं हो सकती है।
23,50%,C,Correct - Total deductions cannot exceed 50% of monthly wages.,True,7,,,,1,2,Betul - jumlah potongan tidak boleh melebihi 50% upah bulanan.,सही - कुल प्रतिष्ठान मासिक ज्याला को 50% भन्दा बढी हुन सक्दैन।,সঠিক - মোট ছাড়গুলি মাসিক মজুরির 50% এর বেশি হতে পারে না।,सही - कुल कटौती मासिक मजदूरी के 50% से अधिक नहीं हो सकती है।
24,60%,D,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2,Tidak betul - jumlah potongan tidak boleh melebihi 50% upah bulanan.,गलत - कुल प्रतिष्ठा मासिक ज्याला को 50% भन्दा बढी हुन सक्दैन।,ভুল - মোট ছাড়গুলি মাসিক মজুরির 50% এর বেশি হতে পারে না।,गलत - कुल कटौती मासिक मजदूरी के 50% से अधिक नहीं हो सकती है।
25,Nothing,A,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4,Tidak betul - tidak membayar adalah kesalahan; Pihak berkuasa/mahkamah boleh memesan pembayaran dan penalti.,गलत - गैर-भुक्तानी एक अपराध हो; अधिकारीहरू / अदालतहरूले भुक्तानी र दण्डहरू प्रदान गर्न सक्दछन्।,ভুল - অ -অর্থ প্রদান একটি অপরাধ; কর্তৃপক্ষ/আদালত অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - गैर -भुगतान एक अपराध है; अधिकारी/अदालतें भुगतान और दंड का आदेश दे सकती हैं।
26,It's an offence; court can order payment,B,Correct - Non-payment is an offence; authorities/courts can order payment and penalties.,True,8,,,,1,4,Betul - tidak membayar adalah kesalahan; Pihak berkuasa/mahkamah boleh memesan pembayaran dan penalti.,सही - गैर-भुक्तानी एक अपराध हो; अधिकारीहरू / अदालतहरूले भुक्तानी र दण्डहरू प्रदान गर्न सक्दछन्।,সঠিক - অ -অর্থ প্রদান একটি অপরাধ; কর্তৃপক্ষ/আদালত অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,सही - गैर -भुगतान एक अपराध है; अधिकारी/अदालतें भुगतान और दंड का आदेश दे सकती हैं।
27,Wait longer,C,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4,Tidak betul - tidak membayar adalah kesalahan; Pihak berkuasa/mahkamah boleh memesan pembayaran dan penalti.,गलत - गैर-भुक्तानी एक अपराध हो; अधिकारीहरू / अदालतहरूले भुक्तानी र दण्डहरू प्रदान गर्न सक्दछन्।,ভুল - অ -অর্থ প্রদান একটি অপরাধ; কর্তৃপক্ষ/আদালত অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - गैर -भुगतान एक अपराध है; अधिकारी/अदालतें भुगतान और दंड का आदेश दे सकती हैं।
28,Employer can decide,D,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4,Tidak betul - tidak membayar adalah kesalahan; Pihak berkuasa/mahkamah boleh memesan pembayaran dan penalti.,गलत - गैर-भुक्तानी एक अपराध हो; अधिकारीहरू / अदालतहरूले भुक्तानी र दण्डहरू प्रदान गर्न सक्दछन्।,ভুল - অ -অর্থ প্রদান একটি অপরাধ; কর্তৃপক্ষ/আদালত অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - गैर -भुगतान एक अपराध है; अधिकारी/अदालतें भुगतान और दंड का आदेश दे सकती हैं।
29,Weekly,A,Incorrect - Wages must be paid at least once a month.,False,9,,,,2,12,Tidak betul - Upah mesti dibayar sekurang -kurangnya sekali sebulan.,गलत - ज्याला कम्तिमा महिनामा कम्तिमा ज्याला तिर्नु पर्छ।,ভুল - মজুরি অবশ্যই মাসে কমপক্ষে একবার দিতে হবে।,गलत - मजदूरी का भुगतान महीने में कम से कम एक बार किया जाना चाहिए।
30,Monthly,B,Correct - Wages must be paid at least once a month.,True,9,,,,2,12,Betul - Upah mesti dibayar sekurang -kurangnya sekali sebulan.,सहि - एक महिनामा कम्तिमा एक पटक ज्याला तिर्नु पर्छ।,সঠিক - মজুরি অবশ্যই মাসে কমপক্ষে একবার দিতে হবে।,सही - मजदूरी का भुगतान महीने में कम से कम एक बार किया जाना चाहिए।
31,Every 2 months,C,Incorrect - Wages must be paid at least once a month.,False,9,,,,2,12,Tidak betul - Upah mesti dibayar sekurang -kurangnya sekali sebulan.,गलत - ज्याला कम्तिमा महिनामा कम्तिमा ज्याला तिर्नु पर्छ।,ভুল - মজুরি অবশ্যই মাসে কমপক্ষে একবার দিতে হবে।,गलत - मजदूरी का भुगतान महीने में कम से कम एक बार किया जाना चाहिए।
32,Whenever employer decides,D,Incorrect - Wages must be paid at least once a month.,False,9,,,,2,12,Tidak betul - Upah mesti dibayar sekurang -kurangnya sekali sebulan.,गलत - ज्याला कम्तिमा महिनामा कम्तिमा ज्याला तिर्नु पर्छ।,ভুল - মজুরি অবশ্যই মাসে কমপক্ষে একবার দিতে হবে।,गलत - मजदूरी का भुगतान महीने में कम से कम एक बार किया जाना चाहिए।
33,3 days,A,Incorrect - Within 7 days after the wage period ends.,False,10,,,,2,14,Tidak betul - dalam masa 7 hari selepas tempoh upah berakhir.,गलत - days दिन भित्र वाजत अवधि समाप्त भयो।,ভুল - মজুরির সময় শেষ হওয়ার 7 দিনের মধ্যে।,गलत - मजदूरी अवधि समाप्त होने के बाद 7 दिनों के भीतर।
34,7 days,B,Correct - Within 7 days after the wage period ends.,True,10,,,,2,14,Betul - dalam masa 7 hari selepas tempoh upah berakhir.,सही - works दिन भित्र वाजत अवधि समाप्त भयो।,সঠিক - মজুরির সময় শেষ হওয়ার 7 দিনের মধ্যে।,सही - मजदूरी अवधि समाप्त होने के बाद 7 दिनों के भीतर।
35,14 days,C,Incorrect - Within 7 days after the wage period ends.,False,10,,,,2,14,Tidak betul - dalam masa 7 hari selepas tempoh upah berakhir.,गलत - days दिन भित्र वाजत अवधि समाप्त भयो।,ভুল - মজুরির সময় শেষ হওয়ার 7 দিনের মধ্যে।,गलत - मजदूरी अवधि समाप्त होने के बाद 7 दिनों के भीतर।
36,30 days,D,Incorrect - Within 7 days after the wage period ends.,False,10,,,,2,14,Tidak betul - dalam masa 7 hari selepas tempoh upah berakhir.,गलत - days दिन भित्र वाजत अवधि समाप्त भयो।,ভুল - মজুরির সময় শেষ হওয়ার 7 দিনের মধ্যে।,गलत - मजदूरी अवधि समाप्त होने के बाद 7 दिनों के भीतर।
37,Employer decides any amount,A,Incorrect - Pay = Monthly wages ÷ Days in period × Days actually worked.,False,11,,,,2,13,Tidak betul - bayar = upah bulanan ÷ hari dalam tempoh × hari sebenarnya bekerja.,गलत - भुक्तानी = मासिक ज्याला ÷ दिन ÷ दिन × दिनहरू × दिन वास्तवमै काम गर्दछ।,ভুল - বেতন = মাসিক মজুরি Pair পিরিয়ডে দিন × দিনগুলি আসলে কাজ করে।,गलत - वेतन = मासिक मजदूरी × अवधि में × दिनों में वास्तव में काम किया।
38,Monthly ÷ Days in period × Days worked,B,Correct - Pay = Monthly wages ÷ Days in period × Days actually worked.,True,11,,,,2,13,Betul - bayar = upah bulanan ÷ hari dalam tempoh × hari sebenarnya bekerja.,सही - भुक्तान = मासिक ज्याला ÷ दिन ÷ दिन × दिनहरू × दिन वास्तवमै काम गर्दछ।,সঠিক - বেতন = মাসিক মজুরি Pair পিরিয়ডে দিন × দিনগুলি আসলে কাজ করে।,सही - वेतन = मासिक मजदूरी × अवधि में × दिनों में वास्तव में काम किया।
39,Flat 50% deduction,C,Incorrect - Pay = Monthly wages ÷ Days in period × Days actually worked.,False,11,,,,2,13,Tidak betul - bayar = upah bulanan ÷ hari dalam tempoh × hari sebenarnya bekerja.,गलत - भुक्तानी = मासिक ज्याला ÷ दिन ÷ दिन × दिनहरू × दिन वास्तवमै काम गर्दछ।,ভুল - বেতন = মাসিক মজুরি Pair পিরিয়ডে দিন × দিনগুলি আসলে কাজ করে।,गलत - वेतन = मासिक मजदूरी × अवधि में × दिनों में वास्तव में काम किया।
40,No pay,D,Incorrect - Pay = Monthly wages ÷ Days in period × Days actually worked.,False,11,,,,2,13,Tidak betul - bayar = upah bulanan ÷ hari dalam tempoh × hari sebenarnya bekerja.,गलत - भुक्तानी = मासिक ज्याला ÷ दिन ÷ दिन × दिनहरू × दिन वास्तवमै काम गर्दछ।,ভুল - বেতন = মাসিক মজুরি Pair পিরিয়ডে দিন × দিনগুলি আসলে কাজ করে।,गलत - वेतन = मासिक मजदूरी × अवधि में × दिनों में वास्तव में काम किया।
41,RM60.00,A,Incorrect - RM65.38 for 6-day week.,False,12,,,,2,18,Tidak betul - RM65.38 untuk minggu 6 hari.,गलत - RM65.38 - दिन हप्ताको लागि।,ভুল - 6 দিনের সপ্তাহের জন্য আরএম 65.38।,गलत - 6 -दिन सप्ताह के लिए RM65.38।
42,RM65.38,B,Correct - RM65.38 for 6-day week.,True,12,,,,2,18,Betul - RM65.38 untuk minggu 6 hari.,सही - RM65.38 - दिन हप्ताको लागि।,সঠিক - 6 দিনের সপ্তাহের জন্য আরএম 65.38।,सही - 6 -दिन सप्ताह के लिए RM65.38।
43,RM70.00,C,Incorrect - RM65.38 for 6-day week.,False,12,,,,2,18,Tidak betul - RM65.38 untuk minggu 6 hari.,गलत - RM65.38 - दिन हप्ताको लागि।,ভুল - 6 দিনের সপ্তাহের জন্য আরএম 65.38।,गलत - 6 -दिन सप्ताह के लिए RM65.38।
44,RM78.46,D,Incorrect - RM65.38 for 6-day week.,False,12,,,,2,18,Tidak betul - RM65.38 untuk minggu 6 hari.,गलत - RM65.38 - दिन हप्ताको लागि।,ভুল - 6 দিনের সপ্তাহের জন্য আরএম 65.38।,गलत - 6 -दिन सप्ताह के लिए RM65.38।
45,No issue,A,Incorrect - Failing to pay wages on time is an offence.,False,13,,,,2,17,Tidak betul - gagal membayar upah tepat pada waktunya adalah kesalahan.,गलत - समय मा ज्याला तिर्न असफल एक अपराध हो।,ভুল - সময়মতো মজুরি দিতে ব্যর্থ হওয়া একটি অপরাধ।,गलत - समय पर मजदूरी का भुगतान करने में विफल होना एक अपराध है।
46,An offence by employer,B,Correct - Failing to pay wages on time is an offence.,True,13,,,,2,17,Betul - gagal membayar upah tepat pada waktunya adalah kesalahan.,सहि - समय मा तलब गर्न असफल एक अपराध हो।,সঠিক - সময়মতো মজুরি দিতে ব্যর্থ হওয়া একটি অপরাধ।,सही - समय पर मजदूरी का भुगतान करने में विफल होना एक अपराध है।
47,Optional payment,C,Incorrect - Failing to pay wages on time is an offence.,False,13,,,,2,17,Tidak betul - gagal membayar upah tepat pada waktunya adalah kesalahan.,गलत - समय मा ज्याला तिर्न असफल एक अपराध हो।,ভুল - সময়মতো মজুরি দিতে ব্যর্থ হওয়া একটি অপরাধ।,गलत - समय पर मजदूरी का भुगतान करने में विफल होना एक अपराध है।
48,Worker's fault,D,Incorrect - Failing to pay wages on time is an offence.,False,13,,,,2,17,Tidak betul - gagal membayar upah tepat pada waktunya adalah kesalahan.,गलत - समय मा ज्याला तिर्न असफल एक अपराध हो।,ভুল - সময়মতো মজুরি দিতে ব্যর্থ হওয়া একটি অপরাধ।,गलत - समय पर मजदूरी का भुगतान करने में विफल होना एक अपराध है।
49,Yes,A,Incorrect - Payment at bars/shops is prohibited.,False,14,,,,2,16,Tidak betul - Pembayaran di bar/kedai adalah dilarang.,गलत - पट्टी / पसलहरूमा भुक्तानी निषेध गरिएको छ।,ভুল - বার/দোকানে অর্থ প্রদান নিষিদ্ধ।,गलत - बार/दुकानों पर भुगतान निषिद्ध है।
50,No,B,Correct - Payment at bars/shops is prohibited.,True,14,,,,2,16,Betul - Pembayaran di bar/kedai adalah dilarang.,सहि - पट्टी / पसलहरूमा भुक्तानी निषेध गरिएको छ।,সঠিক - বার/দোকানে অর্থ প্রদান নিষিদ্ধ।,सही - सलाखों/दुकानों पर भुगतान निषिद्ध है।
51,Yes,A,Incorrect - Charging interest or fees on wage advances is not allowed.,False,15,,,,2,15,Tidak betul - Mengecas faedah atau yuran atas pendahuluan upah tidak dibenarkan.,गलत - ब्याज ब्याज वा ज्याला प्रगतिमा शुल्कहरू अनुमति छैन।,ভুল - মজুরির অগ্রগতিতে সুদ বা ফি চার্জ করার অনুমতি নেই।,गलत - मजदूरी अग्रिमों पर ब्याज या शुल्क चार्ज करने की अनुमति नहीं है।
52,No,B,Correct - Charging interest or fees on wage advances is not allowed.,True,15,,,,2,15,Betul - Mengecas faedah atau yuran atas pendahuluan upah tidak dibenarkan.,सही - ब्याज अप ब्याज वा ज्याला प्रगतिमा शुल्क अनुमति छैन।,সঠিক - মজুরির অগ্রগতিতে সুদ বা ফি চার্জ করার অনুমতি নেই।,सही - मजदूरी अग्रिमों पर ब्याज या शुल्क चार्ज करने की अनुमति नहीं है।
53,Nothing,A,Incorrect - Courts can order payment and penalties for violations.,False,16,,,,2,21,Tidak betul - Mahkamah boleh memerintahkan pembayaran dan penalti untuk pelanggaran.,गलत - अदालतले उल्लंघनका लागि भुक्तानी र दण्डहरू गर्न सक्दछ।,ভুল - আদালত লঙ্ঘনের জন্য অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - अदालतें उल्लंघन के लिए भुगतान और दंड का आदेश दे सकती हैं।
54,Court can order payment,B,Correct - Courts can order payment and penalties for violations.,True,16,,,,2,21,Betul - Mahkamah boleh memerintahkan pembayaran dan penalti untuk pelanggaran.,सहि - अदालतले उल्लंघनका लागि भुक्तानी र दण्डहरू गर्न सक्दछ।,সঠিক - আদালত লঙ্ঘনের জন্য অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,सही - अदालतें उल्लंघन के लिए भुगतान और दंड का आदेश दे सकती हैं।
55,Worker loses rights,C,Incorrect - Courts can order payment and penalties for violations.,False,16,,,,2,21,Tidak betul - Mahkamah boleh memerintahkan pembayaran dan penalti untuk pelanggaran.,गलत - अदालतले उल्लंघनका लागि भुक्तानी र दण्डहरू गर्न सक्दछ।,ভুল - আদালত লঙ্ঘনের জন্য অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - अदालतें उल्लंघन के लिए भुगतान और दंड का आदेश दे सकती हैं।
56,Delay until next month,D,Incorrect - Courts can order payment and penalties for violations.,False,16,,,,2,21,Tidak betul - Mahkamah boleh memerintahkan pembayaran dan penalti untuk pelanggaran.,गलत - अदालतले उल्लंघनका लागि भुक्तानी र दण्डहरू गर्न सक्दछ।,ভুল - আদালত লঙ্ঘনের জন্য অর্থ প্রদান এবং জরিমানা অর্ডার করতে পারে।,गलत - अदालतें उल्लंघन के लिए भुगतान और दंड का आदेश दे सकती हैं।
57,8,A,Correct - 8 hours/day.,True,17,,,,3,22,Betul - 8 jam/hari.,सही - hours घण्टा / दिन।,সঠিক - 8 ঘন্টা/দিন।,सही - 8 घंटे/दिन।
58,10,B,Incorrect - 8 hours/day.,False,17,,,,3,22,Tidak betul - 8 jam/hari.,गलत - hours घण्टा / दिन।,ভুল - 8 ঘন্টা/দিন।,गलत - 8 घंटे/दिन।
59,12,C,Incorrect - 8 hours/day.,False,17,,,,3,22,Tidak betul - 8 jam/hari.,गलत - hours घण्टा / दिन।,ভুল - 8 ঘন্টা/দিন।,गलत - 8 घंटे/दिन।
60,14,D,Incorrect - 8 hours/day.,False,17,,,,3,22,Tidak betul - 8 jam/hari.,गलत - hours घण्टा / दिन।,ভুল - 8 ঘন্টা/দিন।,गलत - 8 घंटे/दिन।
61,40,A,Incorrect - 45 hours/week.,False,18,,,,3,22,Tidak betul - 45 jam/minggu.,गलत - hours 45 घण्टा / हप्ता।,ভুল - 45 ঘন্টা/সপ্তাহ।,गलत - 45 घंटे/सप्ताह।
62,45,B,Correct - 45 hours/week.,True,18,,,,3,22,Betul - 45 jam/minggu.,सही - hours 45 घण्टा / हप्ता।,সঠিক - 45 ঘন্টা/সপ্তাহ।,सही - 45 घंटे/सप्ताह।
63,50,C,Incorrect - 45 hours/week.,False,18,,,,3,22,Tidak betul - 45 jam/minggu.,गलत - hours 45 घण्टा / हप्ता।,ভুল - 45 ঘন্টা/সপ্তাহ।,गलत - 45 घंटे/सप्ताह।
64,60,D,Incorrect - 45 hours/week.,False,18,,,,3,22,Tidak betul - 45 jam/minggu.,गलत - hours 45 घण्टा / हप्ता।,ভুল - 45 ঘন্টা/সপ্তাহ।,गलत - 45 घंटे/सप्ताह।
