question_id,question_text_en,question_type,question_order,is_active,created_at,legal_topic_mapping_id,question_text_en_ms,question_text_en_ne,question_text_en_bn,question_text_en_hi
11,You worked half a month. How is pay calculated?,multiple_choice,3,,,13,Anda bekerja setengah bulan. Bagaimana gaji dikira?,तपाईं आधा महिना काम गर्नुभयो। कसरी भुक्तान गरिएको छ?,আপনি অর্ধ মাস কাজ করেছেন। বেতন কীভাবে গণনা করা হয়?,आपने आधा महीना काम किया। वेतन की गणना कैसे की जाती है?
12,Minimum daily wage (6-day week) from Aug 2025?,multiple_choice,4,,,18,Gaji harian minimum (minggu 6 hari) dari Ogos 2025?,Aug 20225 बाट न्यूनतम दैनिक ज्याला (-दिन हप्ता)?,2025 আগস্ট থেকে ন্যূনতম দৈনিক মজুরি (6 দিনের সপ্তাহ)?,अगस्त 2025 से न्यूनतम दैनिक मजदूरी (6-दिन सप्ताह)?
13,"If wages are not paid on time, what is it?",multiple_choice,5,,,17,"Jika upah tidak dibayar tepat pada waktunya, apakah itu?","यदि ज्याला समयमै भुक्तान गरिएको छैन भने, यो के हो?",যদি সময়মতো মজুরি প্রদান না করা হয় তবে তা কী?,"यदि समय पर मजदूरी का भुगतान नहीं किया जाता है, तो यह क्या है?"
14,Employer pays wages in cash at a bar. Legal?,true_false,6,,,16,Majikan membayar upah secara tunai di bar. Undang -undang?,रोजगारदाताले एक पट्टीमा नगदमा ज्याला भुक्तान गर्दछ। कानूनी?,নিয়োগকর্তা একটি বারে নগদে মজুরি প্রদান করে। আইনী?,नियोक्ता एक बार में नकद में मजदूरी का भुगतान करता है। कानूनी?
15,Can employers charge interest on wage advances?,true_false,7,,,15,Bolehkah majikan mengenakan faedah ke atas pendahuluan upah?,के रोजगारदाताहरूले ज्याला प्रगतिहरूमा चासो लिन सक्छन्?,নিয়োগকর্তারা কি মজুরির অগ্রগতিতে সুদ নিতে পারেন?,क्या नियोक्ता मजदूरी अग्रिमों पर ब्याज ले सकते हैं?
16,Employer fails to pay maternity allowance. What happens?,multiple_choice,8,,,21,Majikan gagal membayar elaun bersalin. Apa yang berlaku?,रोजगारदाता मातृत्व भत्ता भुक्तान गर्न असफल हुन्छन्। के हुन्छ?,নিয়োগকর্তা প্রসূতি ভাতা দিতে ব্যর্থ হন। কি হয়?,नियोक्ता मातृत्व भत्ता का भुगतान करने में विफल रहता है। क्या होता है?
17,Maximum daily hours allowed (normal conditions)?,multiple_choice,1,,,22,Waktu harian maksimum dibenarkan (keadaan normal)?,अधिकतम दैनिक घण्टा अनुमति (सामान्य सर्तहरू)?,সর্বাধিক দৈনিক ঘন্টা অনুমোদিত (সাধারণ শর্ত)?,अधिकतम दैनिक घंटे की अनुमति (सामान्य स्थिति)?
18,Maximum weekly hours allowed?,multiple_choice,2,,,22,Waktu mingguan maksimum dibenarkan?,अधिकतम साप्ताहिक घण्टा अनुमति छ?,সর্বাধিক সাপ্তাহিক ঘন্টা অনুমোদিত?,अधिकतम साप्ताहिक घंटों की अनुमति है?
19,What break is required after 5 continuous hours?,multiple_choice,3,,,22,Apa rehat yang diperlukan selepas 5 jam berterusan?,Detugetheretims निरन्तर घण्टा पछि के ब्रेक आवश्यक छ?,5 অবিচ্ছিন্ন ঘন্টা পরে কোন বিরতি প্রয়োজন?,5 निरंतर घंटों के बाद क्या ब्रेक की आवश्यकता है?
20,Forced to work every weekly rest day. Legal?,true_false,4,,,23,Terpaksa bekerja setiap hari rehat mingguan. Undang -undang?,हरेक साप्ताहिक आराम दिन काम गर्न बाध्य। कानूनी?,প্রতি সাপ্তাহিক বিশ্রামের দিন কাজ করতে বাধ্য। আইনী?,हर साप्ताहिक आराम दिन काम करने के लिए मजबूर किया गया। कानूनी?
21,How many rest days per week are you entitled to?,multiple_choice,5,,,23,Berapa hari rehat seminggu yang anda berhak?,तपाईं प्रति हप्ता कति बाँकी दिनहरू हकदार हुनुहुन्छ?,আপনি প্রতি সপ্তাহে কত বিশ্রামের দিন?,आप प्रति सप्ताह कितने आराम दिन के हकदार हैं?
22,You apply to employer for flexible work. Allowed?,true_false,6,,,24,Anda memohon kepada majikan untuk kerja yang fleksibel. Dibenarkan?,तपाईं लचिलो कामको लागि रोजगारदातालाई लागू गर्नुहुन्छ। अनुमति दिनुहुन्छ?,আপনি নমনীয় কাজের জন্য নিয়োগকর্তার জন্য আবেদন করেন। অনুমোদিত?,आप लचीले काम के लिए नियोक्ता पर आवेदन करते हैं। अनुमत?
23,What's the emergency daily maximum hours?,multiple_choice,7,,,22,Berapakah waktu maksimum harian kecemasan?,आपतकालीन दैनिक अधिकतम घण्टा के हो?,জরুরী দৈনিক সর্বোচ্চ ঘন্টা কি?,आपातकालीन दैनिक अधिकतम घंटे क्या है?
24,You worked 50 hours in a week. Legal?,true_false,8,,,22,Anda bekerja 50 jam dalam seminggu. Undang -undang?,तपाईं एक हप्तामा 400 घण्टा काम गर्नुभयो। कानूनी?,আপনি এক সপ্তাহে 50 ঘন্টা কাজ করেছেন। আইনী?,आपने एक सप्ताह में 50 घंटे काम किया। कानूनी?
25,Can your employer keep your passport?,true_false,1,,,26,Bolehkah majikan anda menyimpan pasport anda?,के तपाईंको रोजगारदाताले तपाईंको पासपोर्ट राख्नुहुन्छ?,আপনার নিয়োগকর্তা কি আপনার পাসপোর্ট রাখতে পারেন?,क्या आपका नियोक्ता आपका पासपोर्ट रख सकता है?
26,Maximum fine for general labour violations (no specific penalty stated)?,multiple_choice,2,,,25,Denda maksimum untuk pelanggaran buruh umum (tiada penalti tertentu yang dinyatakan)?,सामान्य श्रम उल्लंघनको लागि अधिकतम जरिवाना (कुनै विशिष्ट सजाय)?,সাধারণ শ্রম লঙ্ঘনের জন্য সর্বোচ্চ জরিমানা (নির্দিষ্ট কোনও জরিমানা বর্ণিত নেই)?,सामान्य श्रम उल्लंघनों के लिए अधिकतम जुर्माना (कोई विशिष्ट जुर्माना नहीं कहा गया)?
27,No safety helmet provided on site. Who is responsible?,multiple_choice,3,,,27,Tiada topi keledar keselamatan yang disediakan di tapak. Siapa yang bertanggungjawab?,साइटमा कुनै सुरक्षा हेलमेट प्रदान गरिएको छैन। को जिम्मेवार छ?,সাইটে কোনও সুরক্ষা হেলমেট সরবরাহ করা হয়নি। কে দায়বদ্ধ?,साइट पर कोई सुरक्षा हेलमेट प्रदान नहीं किया गया। कौन जिम्मेदार है?
28,A safety & health committee is required at how many workers?,multiple_choice,4,,,29,Jawatankuasa Keselamatan & Kesihatan diperlukan pada berapa banyak pekerja?,कति जना कामदारहरूलाई सुरक्षा र स्वास्थ्य समिति आवश्यक छ?,কতজন শ্রমিককে একটি সুরক্ষা ও স্বাস্থ্য কমিটির প্রয়োজন?,कितने श्रमिकों में एक सुरक्षा और स्वास्थ्य समिति की आवश्यकता होती है?
29,Unsafe electrical wiring in hostel. Who must fix it?,multiple_choice,5,,,31,Pendawaian elektrik yang tidak selamat di asrama. Siapa yang mesti memperbaikinya?,होस्टेलमा असन्तुष्ट विद्युतीय तार। कसले यसलाई ठीक गर्नै पर्छ?,হোস্টেলে অনিরাপদ বৈদ্যুতিক তারের। কে অবশ্যই এটি ঠিক করতে হবে?,हॉस्टल में असुरक्षित विद्युत तारों। इसे किसे ठीक करना चाहिए?
30,Who must report workplace accidents/dangerous incidents?,multiple_choice,6,,,30,Siapa yang mesti melaporkan kemalangan tempat kerja/insiden berbahaya?,कसले कार्यस्थल दुर्घटना / खतरनाक घटनाहरू रिपोर्ट गर्नुपर्दछ?,কর্মক্ষেত্রের দুর্ঘটনা/বিপজ্জনক ঘটনার কথা কাকে অবশ্যই রিপোর্ট করতে হবে?,कार्यस्थल दुर्घटनाओं/खतरनाक घटनाओं की रिपोर्ट किसे चाहिए?
31,Hostel has no water supply. Legal?,true_false,7,,,32,Asrama tidak mempunyai bekalan air. Undang -undang?,होस्टेलको पानी आपूर्ति छैन। कानूनी?,হোস্টেলের জল সরবরাহ নেই। আইনী?,हॉस्टल में पानी की आपूर्ति नहीं है। कानूनी?
32,Employees' safety duty includes…,multiple_choice,8,,,28,Tugas keselamatan pekerja termasuk ...,कर्मचारीहरूको सुरक्षा शुल्क समावेश छ ...,কর্মচারীদের সুরক্ষা শুল্ক অন্তর্ভুক্ত…,कर्मचारियों के सुरक्षा कर्तव्य में शामिल हैं ...
33,What is the maximum overtime hours per month?,multiple_choice,1,,,33,Berapakah jam lebih masa maksimum sebulan?,प्रति महिना अधिकतम ओभरटाइम घण्टा के हो?,প্রতি মাসে সর্বাধিক ওভারটাইম ঘন্টা কত?,प्रति माह अधिकतम ओवरटाइम घंटे क्या है?
34,"Who must pay for overtime, rest-day, and holiday work?",multiple_choice,2,,,34,"Siapa yang mesti membayar kerja lebih masa, rehat, dan percutian?","कसले ओभरटाइम, आराम दिन, र छुट्टीको काम तिर्नु पर्छ?","ওভারটাইম, বিশ্রাম-দিন এবং ছুটির কাজের জন্য কার অর্থ প্রদান করতে হবে?","ओवरटाइम, रेस्ट-डे और हॉलिडे वर्क के लिए किसे भुगतान करना होगा?"
35,Fine for general violations if no specific penalty is stated?,multiple_choice,3,,,36,Baik untuk pelanggaran umum jika tiada penalti tertentu dinyatakan?,सामान्य उल्लंघनको लागि ठीक छ यदि कुनै खास दण्ड भनिएको छैन भने?,সাধারণ লঙ্ঘনের জন্য জরিমানা যদি কোনও নির্দিষ্ট জরিমানা বলা না হয়?,सामान्य उल्लंघनों के लिए ठीक है अगर कोई विशिष्ट जुर्माना नहीं कहा गया है?
36,You worked 120 OT hours this month. Legal?,true_false,4,,,33,Anda bekerja 120 jam bulan ini. Undang -undang?,तपाईंले यस महिना 120 ओट घण्टा काम गर्नुभयो। कानूनी?,আপনি এই মাসে 120 ওটি ঘন্টা কাজ করেছেন। আইনী?,आपने इस महीने 120 ओटी घंटे काम किया। कानूनी?
37,Employer refuses to pay OT. Legal?,true_false,5,,,34,Majikan enggan membayar OT. Undang -undang?,रोजगारदाताले ओट भुक्तान गर्न इन्कार गर्दछ। कानूनी?,নিয়োগকর্তা ওটি প্রদান করতে অস্বীকার করেছেন। আইনী?,नियोक्ता ओटी को भुगतान करने से इनकार करता है। कानूनी?
38,"If no penalty is specified for an offence, what applies?",multiple_choice,6,,,36,"Sekiranya tiada penalti ditentukan untuk kesalahan, apa yang berlaku?","यदि कुनै सजाय कुनै अपराधको लागि निर्दिष्ट गरिएको छैन भने, के लागू हुन्छ?",যদি কোনও অপরাধের জন্য কোনও জরিমানা নির্দিষ্ট না করা হয় তবে কী প্রযোজ্য?,"यदि कोई दंड अपराध के लिए निर्दिष्ट नहीं है, तो क्या लागू होता है?"
39,You worked on a public holiday but got no extra pay. Legal?,true_false,7,,,34,Anda bekerja pada cuti umum tetapi tidak mendapat bayaran tambahan. Undang -undang?,तपाईंले सार्वजनिक छुट्टीमा काम गर्नुभयो तर कुनै अतिरिक्त भुक्तानी छैन। कानूनी?,আপনি সরকারী ছুটিতে কাজ করেছেন তবে অতিরিক্ত বেতন পাননি। আইনী?,"आपने एक सार्वजनिक अवकाश पर काम किया, लेकिन कोई अतिरिक्त वेतन नहीं मिला। कानूनी?"
40,What happens if an employer ignores a payment order?,multiple_choice,8,,,35,Apa yang berlaku jika majikan mengabaikan pesanan pembayaran?,के हुन्छ यदि एक रोजगारदाताले भुक्तानी आदेशलाई बेवास्ता गर्दछ?,যদি কোনও নিয়োগকর্তা কোনও অর্থ প্রদানের আদেশ উপেক্ষা করেন তবে কী হবে?,यदि कोई नियोक्ता भुगतान आदेश की उपेक्षा करता है तो क्या होता है?
41,Minimum overtime pay rate is…,multiple_choice,1,,,37,Kadar gaji lebih masa minimum adalah ...,न्यूनतम ओभरटाइम भुक्तान दर हो ...,সর্বনিম্ন ওভারটাইম বেতন হার ...,न्यूनतम ओवरटाइम वेतन दर है ...
42,"If you work more than half a rest day, you get…",multiple_choice,2,,,38,"Sekiranya anda bekerja lebih dari setengah hari rehat, anda dapat ...","यदि तपाईं आधा भन्दा बढी आराम दिन काम गर्नुहुन्छ भने, तपाईं पाउनुहुन्छ ...",আপনি যদি অর্ধেক বিশ্রামের দিন বেশি কাজ করেন তবে আপনি পাবেন…,"यदि आप आधे से अधिक आराम से काम करते हैं, तो आप प्राप्त करते हैं ..."
43,Hourly rate calculation (monthly basis) is…,multiple_choice,3,,,39,Pengiraan kadar setiap jam (asas bulanan) adalah ...,घण्टा दर गणना (मासिक आधार) हो ...,প্রতি ঘন্টা রেট গণনা (মাসিক ভিত্তি) হ'ল…,प्रति घंटा दर गणना (मासिक आधार) है ...
44,Paid normal rate for overtime. Legal?,true_false,4,,,37,Dibayar kadar normal untuk lebih masa. Undang -undang?,ओभरटाइमको लागि सामान्य दर भुक्तान गरियो। कानूनी?,অতিরিক্ত সময়ের জন্য সাধারণ হার প্রদান করা হয়েছে। আইনী?,ओवरटाइम के लिए सामान्य दर का भुगतान किया। कानूनी?
45,Worked half a rest day. What pay?,multiple_choice,5,,,38,Bekerja setengah hari rehat. Apa Bayar?,आधा आराम दिन काम गर्यो। कुन तलब?,অর্ধেক বিশ্রামের দিন কাজ করেছেন। কি বেতন?,आधा दिन काम किया। क्या भुगतान?
46,Worked full rest day. What pay?,multiple_choice,6,,,38,Bekerja hari rehat penuh. Apa Bayar?,पूर्ण आराम दिन काम गर्यो। कुन तलब?,পুরো বিশ্রাম দিন কাজ। কি বেতন?,पूरा दिन काम किया। क्या भुगतान?
47,Overtime on a rest day. What pay?,multiple_choice,7,,,38,Lebih masa pada hari rehat. Apa Bayar?,आराम दिन मा ओभरटाइम। कुन तलब?,একটি বিশ্রামের দিন ওভারটাইম। কি বেতন?,एक आराम दिन पर ओवरटाइम। क्या भुगतान?
48,Employer calculates hourly rate as monthly ÷ 30. Legal?,true_false,8,,,39,Majikan mengira kadar setiap jam sebagai bulanan ÷ 30. Undang -undang?,नियोक्ताले मासिक ÷ 300 को रूप मा प्रति घण्टा दर गणना गर्दछ। कानूनी? कानूनी?,নিয়োগকর্তা মাসিক হিসাবে প্রতি ঘণ্টায় হার গণনা করেন ÷ 30। আইনী?,नियोक्ता प्रति घंटा की दर की गणना करता है।
49,"If you live at the workplace for ≥ 6 months, the land for food must be at least…",multiple_choice,1,,,40,"Jika anda tinggal di tempat kerja selama ≥ 6 bulan, tanah untuk makanan mestilah ...","यदि तपाईं ≥ months महिनाको लागि कार्यस्थलमा बस्नुहुन्छ भने, खानाको लागि जग्गा कम्तिमा हुनु पर्छ ...",আপনি যদি কর্মক্ষেত্রে months মাস ধরে থাকেন তবে খাবারের জন্য জমি অবশ্যই কমপক্ষে হতে হবে ...,"यदि आप you 6 महीने के लिए कार्यस्थल पर रहते हैं, तो भोजन के लिए भूमि कम से कम…"
50,"If ≥100 workers live at site, employer must provide…",multiple_choice,2,,,41,"Jika ≥100 pekerja tinggal di tapak, majikan mesti menyediakan ...","यदि ≥100 कामदारहरू साइटमा बस्छन्, रोजगारदाताले प्रदान गर्नुपर्दछ ...",যদি ≥100 কর্মীরা সাইটে থাকেন তবে নিয়োগকর্তাকে অবশ্যই সরবরাহ করতে হবে ...,"यदि site100 श्रमिक साइट पर रहते हैं, तो नियोक्ता को प्रदान करना होगा ..."
51,"If no hospital is nearby, who must establish a clinic?",multiple_choice,3,,,42,"Sekiranya tiada hospital berdekatan, siapa yang mesti menubuhkan klinik?",यदि कुनै अस्पताल नजिकै छैन भने कसले क्लिनिक स्थापना गर्नुपर्यो?,যদি কোনও হাসপাতাল কাছাকাছি না থাকে তবে অবশ্যই একটি ক্লিনিক প্রতিষ্ঠা করতে হবে?,"यदि कोई अस्पताल पास में नहीं है, तो क्लिनिक किसे स्थापित करना होगा?"
52,Must accommodation have a certificate?,true_false,4,,,43,Mesti penginapan mempunyai sijil?,आवासको प्रमाणपत्र हुनुपर्दछ?,আবাসন অবশ্যই একটি শংসাপত্র আছে?,आवास में एक प्रमाण पत्र होना चाहिए?
53,Employer charges rent but not via wage deductions. Legal?,true_false,5,,,44,Caj majikan sewa tetapi tidak melalui potongan upah. Undang -undang?,रोजगारदाताले भाडामा लिन्छ तर ज्याला कटौती मार्फत छैन। कानूनी?,নিয়োগকর্তা ভাড়া চার্জ করেন তবে মজুরি ছাড়ের মাধ্যমে নয়। আইনী?,नियोक्ता किराया लेता है लेकिन मजदूरी में कटौती के माध्यम से नहीं। कानूनी?
54,Employer uses an unfit building for housing. Legal?,true_false,6,,,45,Majikan menggunakan bangunan yang tidak sesuai untuk perumahan. Undang -undang?,रोजगारदाताले आवासको लागि अयोग्य भवनको प्रयोग गर्दछ। कानूनी?,নিয়োগকর্তা আবাসনের জন্য একটি অযোগ্য বিল্ডিং ব্যবহার করে। আইনী?,नियोक्ता आवास के लिए एक अनफिट इमारत का उपयोग करता है। कानूनी?
55,Which utilities are required for housing?,multiple_choice,7,,,47,Utiliti mana yang diperlukan untuk perumahan?,कुन उपयोगिताहरू आवासको लागि आवश्यक छ?,আবাসনের জন্য কোন ইউটিলিটিগুলির প্রয়োজন?,आवास के लिए किन उपयोगिताओं की आवश्यकता है?
56,Terminated with notice < 4 weeks; told to leave hostel today. Legal?,true_false,8,,,46,Ditamatkan dengan notis <4 minggu; diberitahu untuk meninggalkan asrama hari ini. Undang -undang?,सूचना <weeks हप्ताको साथ समाप्त भयो; आज होस्टल छोड्न भन्यो। कानूनी?,নোটিশ দিয়ে সমাপ্ত <4 সপ্তাহ; আজ হোস্টেল ছেড়ে যেতে বলা হয়েছে। আইনী?,नोटिस के साथ समाप्त <4 सप्ताह; आज हॉस्टल छोड़ने के लिए कहा गया। कानूनी?
57,Employer safety duties include…,multiple_choice,1,,,49,Tugas keselamatan majikan termasuk ...,नियोक्ता सुरक्षा कर्तव्य समावेश छ ...,নিয়োগকর্তা সুরক্ষা শুল্ক অন্তর্ভুক্ত…,नियोक्ता सुरक्षा कर्तव्यों में शामिल हैं ...
58,Employees must…,multiple_choice,2,,,50,Pekerja mesti ...,कर्मचारीहरू हुनुपर्दछ ...,কর্মচারীদের অবশ্যই…,कर्मचारियों को ...
59,Penalty for breaking employee safety duties?,multiple_choice,3,,,50,Penalti untuk melanggar tugas keselamatan pekerja?,कर्मचारी सुरक्षा कर्तव्यहरू तोड्नको लागि दण्ड?,কর্মচারীদের সুরক্ষা শুল্ক ভাঙার জন্য জরিমানা?,कर्मचारी सुरक्षा कर्तव्यों को तोड़ने के लिए जुर्माना?
60,When must a safety & health committee be set up?,multiple_choice,4,,,52,Bilakah Jawatankuasa Keselamatan & Kesihatan mesti ditubuhkan?,सुरक्षा र स्वास्थ्य समिति कहिले स्थापना गर्न सकिन्छ?,কখন একটি সুরক্ষা ও স্বাস্থ্য কমিটি সেট আপ করা উচিত?,सुरक्षा और स्वास्थ्य समिति को कब स्थापित किया जाना चाहिए?
61,Who must report accidents/dangerous incidents?,multiple_choice,5,,,53,Siapa yang mesti melaporkan kemalangan/insiden berbahaya?,कसले दुर्घटना / खतरनाक घटनाहरू रिपोर्ट गर्नुपर्दछ?,কার অবশ্যই দুর্ঘটনা/বিপজ্জনক ঘটনার প্রতিবেদন করতে হবে?,दुर्घटनाओं/खतरनाक घटनाओं की रिपोर्ट किसे चाहिए?
62,Employer ignores fire safety. Legal?,true_false,6,,,48,Majikan mengabaikan keselamatan kebakaran. Undang -undang?,रोजगारदाताले आगो सुरक्षालाई बेवास्ता गर्दछ। कानूनी?,নিয়োগকর্তা আগুন সুরক্ষা উপেক্ষা করে। আইনী?,नियोक्ता अग्नि सुरक्षा की अनदेखी करता है। कानूनी?
63,Employer must prepare and update…,multiple_choice,7,,,51,Majikan mesti menyediakan dan mengemas kini ...,रोजगारदाताले तयारी र अपडेट गर्नै पर्छ ...,নিয়োগকর্তাকে অবশ্যই প্রস্তুত এবং আপডেট করতে হবে ...,नियोक्ता को तैयार करना और अद्यतन करना चाहिए ...
64,Infectious disease outbreak at work. Employer must…,multiple_choice,8,,,54,Wabak penyakit berjangkit di tempat kerja. Majikan mesti ...,संक्रामक रोग प्रकोप काम मा। रोजगारदाता हुनु पर्छ ...,কর্মক্ষেত্রে সংক্রামক রোগের প্রাদুর্ভাব। নিয়োগকর্তা অবশ্যই ...,काम पर संक्रामक रोग का प्रकोप। नियोक्ता को ...
65,Maternity leave entitlement (days)?,multiple_choice,1,,,55,Cuti Cuti Bersalin (hari)?,मातृत्व बिदा हकदार (दिन)?,প্রসূতি ছুটির এনটাইটেলমেন্ট (দিন)?,मातृत्व अवकाश पात्रता (दिन)?
66,Paternity leave entitlement (days)?,multiple_choice,2,,,60,Hak cuti bapa (hari)?,पितृत्व छोड्नुहोस् हन्टिमान (दिन)?,পিতৃত্ব ছুটির এনটাইটেলমেন্ট (দিন)?,पितृत्व अवकाश (दिन) छोड़ देता है?
67,Minimum paid public holidays per year?,multiple_choice,3,,,57,Cuti umum yang dibayar minimum setiap tahun?,न्यूनतम भुक्तान गरिएको सार्वजनिक छुट्टिहरू प्रति वर्ष,প্রতি বছর সর্বনিম্ন বেতনভুক্ত পাবলিক ছুটি?,न्यूनतम भुगतान सार्वजनिक अवकाश प्रति वर्ष?
68,Annual leave for service ≥ 5 years?,multiple_choice,4,,,58,Cuti tahunan untuk perkhidmatan ≥ 5 tahun?,सेवाको लागि वार्षिक बिदा ≥ Years बर्ष?,পরিষেবার জন্য বার্ষিক ছুটি ≥ 5 বছর?,सेवा के लिए वार्षिक अवकाश? 5 साल?
69,Employer refuses maternity leave to an eligible worker. Legal?,true_false,5,,,61,Majikan menolak cuti bersalin kepada pekerja yang layak. Undang -undang?,रोजगारदाताले मातृत्व बिदामा मातृत्व बिदामा अस्वीकार गर्दछ। कानूनी?,নিয়োগকর্তা কোনও যোগ্য কর্মীর কাছে মাতৃত্বকালীন ছুটি প্রত্যাখ্যান করেন। আইনী?,नियोक्ता एक योग्य कार्यकर्ता को मातृत्व अवकाश से इनकार करता है। कानूनी?
70,You work on a rest day > half normal hours. Compensation?,multiple_choice,6,,,56,Anda bekerja pada hari rehat> setengah jam biasa. Pampasan?,तपाईं एक आराम दिन मा काम गर्नुहुन्छ> आधा सामान्य घण्टा। क्षतिपूर्ति?,আপনি একটি বিশ্রামের দিন> অর্ধেক স্বাভাবিক ঘন্টা কাজ করেন। ক্ষতিপূরণ?,आप एक आराम दिन पर काम करते हैं> आधे सामान्य घंटे। मुआवज़ा?
71,Public holiday falls on your rest day. What happens?,multiple_choice,7,,,57,Percutian awam jatuh pada hari rehat anda. Apa yang berlaku?,सार्वजनिक छुट्टी तपाईंको विश्राम दिनमा खस्छ। के हुन्छ?,আপনার বিশ্রামের দিনে সরকারী ছুটি পড়ে। কি হয়?,सार्वजनिक अवकाश आपके आराम के दिन पर पड़ता है। क्या होता है?
72,Sick leave entitlement for < 2 years of service?,multiple_choice,8,,,59,Hak cuti sakit untuk <2 tahun perkhidmatan?,<2 वर्ष सेवाको लागि बिरामी छुटकारा दिनुहोस्।,<2 বছরের পরিষেবার জন্য অসুস্থ ছুটির এনটাইটেলমেন্ট?,<2 साल की सेवा के लिए बीमार छुट्टी का अधिकार?
73,Can an employer legally keep your passport?,true_false,1,,,63,Bolehkah majikan secara sah menyimpan pasport anda?,के रोजगारदाताले कानूनी रूपमा आफ्नो राहदानी राख्नुहोस्?,কোনও নিয়োগকর্তা আইনত আপনার পাসপোর্ট রাখতে পারেন?,क्या कोई नियोक्ता कानूनी रूप से आपका पासपोर्ट रख सकता है?
74,Who may lawfully hold your passport?,multiple_choice,2,,,63,Siapa yang boleh memegang pasport anda secara sah?,कसले तपाईंको राहदानी समात्छ?,আইনীভাবে আপনার পাসপোর্টটি কে ধরে রাখতে পারে?,कौन वैध रूप से आपका पासपोर्ट आयोजित कर सकता है?
