legal_id,section_id,part_label,title_short,language_code,source_id,topic_id,legal_title_plain,legal_content_plain_en
40,8,PART II,Building endangering health or safety,EN,5,8,Building safety inspections,"The Director General shall cause to be inspected: (a) by a Medical Officer of Health, any building, estate hospital, group estate hospital or clinic which appears likely to endanger health due to its design, site, size, sanitation, water quality or other conditions; and (b) by the District Engineer, any building, estate hospital, group estate hospital or clinic which appears likely to endanger safety due to its construction, state of repair or condition. After inspection, officials shall submit reports with recommendations on necessary measures. The Director General may then order employers to demolish and replace, alter or repair buildings or make good deficiencies within specified time and conditions, and may direct that no employee or dependants occupy such buildings pending compliance."
41,15,PART IV,General duties of employers,EN,8,4,General employer safety duties,"Your employer must ensure your safety, health and welfare at work by: providing safe equipment and work systems, ensuring safe handling of materials, giving you safety training and information, keeping the workplace safe with proper access routes, maintaining a safe working environment with adequate facilities, and having emergency procedures ready."
41,15,PART IV,General duties of employers,EN,8,8,General employer safety duties,"Your employer must ensure your safety, health and welfare at work by: providing safe equipment and work systems, ensuring safe handling of materials, giving you safety training and information, keeping the workplace safe with proper access routes, maintaining a safe working environment with adequate facilities, and having emergency procedures ready."
42,24,PART VI,General duties of employees at work,EN,8,4,Employee safety duties,"While at work, you must: take care of your own safety and others who might be affected by your actions, cooperate with your employer on safety requirements, wear protective equipment provided by your employer, and follow safety instructions. Breaking these rules can result in fines up to RM2,000 or jail time up to 3 months."
42,24,PART VI,General duties of employees at work,EN,8,8,Employee safety duties,"While at work, you must: take care of your own safety and others who might be affected by your actions, cooperate with your employer on safety requirements, wear protective equipment provided by your employer, and follow safety instructions. Breaking these rules can result in fines up to RM2,000 or jail time up to 3 months."
43,16,PART IV,Duty of employer to formulate occupational safety and health policy,EN,8,8,Safety policy requirement,Your employer must prepare and regularly update a written safety and health policy statement and make sure all employees know about it and any changes to it.
44,30,PART VII,Establishment of safety and health committee at place of work,EN,8,4,Safety committee requirement,"Your employer must set up a safety and health committee if there are 40 or more workers at the workplace, or if ordered by the Director General. The employer must work with this committee to develop and check safety measures. Not following this can result in fines up to RM100,000 or jail time up to 1 year."
44,30,PART VII,Establishment of safety and health committee at place of work,EN,8,8,Safety committee requirement,"Your employer must set up a safety and health committee if there are 40 or more workers at the workplace, or if ordered by the Director General. The employer must work with this committee to develop and check safety measures. Not following this can result in fines up to RM100,000 or jail time up to 1 year."
45,32,PART VIII,Accident reporting,EN,8,4,Accident notification requirements,"Your employer must report any workplace accidents, dangerous incidents, occupational poisoning or diseases to the nearest occupational safety and health office. Medical practitioners must also report occupational diseases to the Director General."
45,32,PART VIII,Accident reporting,EN,8,8,Accident notification requirements,"Your employer must report any workplace accidents, dangerous incidents, occupational poisoning or diseases to the nearest occupational safety and health office. Medical practitioners must also report occupational diseases to the Director General."
46,21,PART III,Duty of employer to segregate employee suffering from infectious,EN,5,8,Infectious disease segregation,"If there is an infectious disease outbreak at your workplace, your employer must provide a place for you to be safely separated if directed by the Medical Officer of Health. Your employer must pay for your maintenance and treatment while you are segregated. If a Medical Officer believes you have an infectious disease or need to be removed for public health reasons, they can legally order you to be moved to a medical facility and kept there until you are discharged by written order from a Medical Officer."
47,11,PART II,Allotment of land,EN,5,7,Land allotment rights,"If you work and live at your workplace for at least 6 months, your employer must give you 250 square meters of land for growing food."
48,12,PART II,"Community hall, sports and other recreational facilities",EN,5,7,Recreation facility requirements,"If there are 100 or more workers living at the workplace, your employer must build a community hall and provide sports and recreation facilities."
49,13,PART II,No rent or charge to be levied for benefits under this Part,EN,5,7,No charges for accommodation benefits,"Your employer cannot charge you rent or fees for housing, nursery, community hall, sports facilities, sanitation, or land allotment provided under this law."
50,19,PART III,Medical treatment in estate on which a hospital is not maintained,EN,5,7,Medical clinic requirements,"If there's no hospital available, your employer must establish and maintain a clinic for treating sick workers and their families, with a registered doctor visiting at least twice a month."
51,23,PART III,Weekly inspection of employees’ housing,EN,5,7,Housing inspection requirements,"Your employer must keep your housing area clean and sanitary, maintain proper drainage, collect refuse daily, and ensure bathrooms are clean - with weekly inspections by health officials."
52,24D,PART III,Accommodation to be certified with Certificate for Accommodation,EN,5,7,Accommodation certificate requirement,"Your employer cannot provide accommodation without a Certificate for Accommodation - violating this can result in fines up to RM50,000."
53,24E,PART III,Employer to give notice of occupation,EN,5,7,Employer notification requirement,"Your employer must notify the Director General within 30 days when you occupy accommodation - failure to do so results in fines up to RM10,000."
54,24F,PART III,Accommodation to comply with minimum standards,EN,5,7,Accommodation minimum standards,Your employer or accommodation provider must ensure that every accommodation provided for employees complies with the minimum standards required under this Act or any regulations made thereunder.
55,24G,PART III,Deductions in respect of rent or charge for accommodation. Accommodation to comply with minimum standards,EN,5,7,Rent deductions from wages,"Your employer may collect rent or charges for accommodation provided, but this must be done through deductions from your wages according to conditions prescribed by the Minister."
56,24H,PART III,Accommodation to comply with the laws of local authorities,EN,5,4,Building safety compliance,"Your employer or accommodation provider cannot use any building as accommodation if the building is unfit for human habitation according to relevant written laws. Violating this is an offence with fines up to RM50,000."
56,24H,PART III,Accommodation to comply with the laws of local authorities,EN,5,7,Building safety compliance,"Your employer or accommodation provider cannot use any building as accommodation if the building is unfit for human habitation according to relevant written laws. Violating this is an offence with fines up to RM50,000."
57,24I,PART III,Appointment of person in charge of accommodation,EN,5,7,Decent amenities provision,Your employer or accommodation provider must provide decent and adequate amenities in accordance with this Act or any regulations made thereunder.
58,24K,Part III,Maintenance,EN,5,7,Maintenance requirements,Your employer and accommodation provider must ensure that every accommodation provided for employees is maintained as directed by the Director General.
59,24M,Part III,Notice to vacate accommodation,EN,5,7,Notice to vacate,"If you resign or your employment is terminated with at least four weeks' notice, you must vacate the accommodation upon the effective date of termination. If your employment is terminated with less than four weeks' notice or with immediate effect, you must vacate the accommodation within four weeks from the date of notice or termination."
60,24N,Part III,Employer not obligated to provide accommodation for employees’ dependants,EN,5,7,No obligation for dependants,Your employer is not obligated to provide accommodation for your dependants even if you are provided with accommodation under this Part.
61,4,PART II,Exemption,EN,5,7,Ministerial exemption power,The Minister may by order exempt from all or any of the provisions of this Act any employer or class of employers or any building or class of buildings specified in the order.
62,5,PART II,Building to comply with requirements,EN,5,7,Building compliance requirements,"No employer shall house or cause or permit to be housed any employee in any building which does not comply with the provisions of this Act or any regulations made thereunder. Buildings used for housing employees before this Act commenced may continue to be used if they comply with previous written laws, provided they are converted to comply with this Act. The Director General may permit existing buildings to continue being used subject to conditions and for periods he deems fit. If buildings do not comply after investigation, the Director General may order demolition, replacement, alteration, repair or making good of deficiencies with at least three months' notice."
63,6,PART II,Supply of water and electricity and maintenance of houses,EN,5,4,Water and electricity supply requirements,"Where employees and their dependants are provided with housing at their place of employment, it shall be the duty of the employer to: (a) provide free and adequate piped water drawn from a public main, or where permitted by the Director General, provide free and adequate supply of potable piped water from any other source filtered and treated as approved by the Director General; (b) provide adequate electricity supply; (c) ensure that the buildings are kept in a good state of repair and painted to present a satisfactory appearance; and (d) ensure that no unauthorized extensions or structural alterations are made to the buildings. The adequacy of water and electricity supply shall be determined by the Director General, who may approve alternative water supply methods or exempt employers from certain requirements if provision is not practicable or viable."
63,6,PART II,Supply of water and electricity and maintenance of houses,EN,5,7,Water and electricity supply requirements,"Where employees and their dependants are provided with housing at their place of employment, it shall be the duty of the employer to: (a) provide free and adequate piped water drawn from a public main, or where permitted by the Director General, provide free and adequate supply of potable piped water from any other source filtered and treated as approved by the Director General; (b) provide adequate electricity supply; (c) ensure that the buildings are kept in a good state of repair and painted to present a satisfactory appearance; and (d) ensure that no unauthorized extensions or structural alterations are made to the buildings. The adequacy of water and electricity supply shall be determined by the Director General, who may approve alternative water supply methods or exempt employers from certain requirements if provision is not practicable or viable."
64,7,PART II,HOUSING AND OTHER AMENITIES,EN,5,7,Building plan approval,"For any building to be erected or converted for housing of employees or for use as a nursery or community hall, plans of the building and its site must be submitted to the Director General for approval, and no work relating to the building shall begin until the plans have been approved. The approving authority shall be the Director General for building plans and the Medical Officer of Health for site plans and sanitary arrangements."
65,9,PART II,Building not originally built for the housing of employees,EN,5,7,Building conversion approval,"A building originally built for a purpose other than housing of employees shall not be used for or converted for the purpose of housing employees unless an application has been made to and approved by the Director General, accompanied by a plan of the site and building setting out conversion details."
66,37,PART IX,Length of eligible period and entitlement to maternity allowance,EN,2,9,Maternity leave entitlement,"Every female employee is entitled to maternity leave for at least 98 consecutive days (eligible period) for each confinement and to receive maternity allowance from her employer. To qualify for maternity allowance, you must have worked for at least 90 days during the 9 months before confinement and been employed at any time in the 4 months immediately before confinement. Maternity leave cannot start earlier than 30 days before confinement or later than the day after confinement, unless a medical officer certifies you cannot perform duties due to advanced pregnancy (then you can start up to 14 days earlier). You can return to work during maternity leave if certified fit by a registered medical practitioner with employer consent. You are not entitled to maternity allowance if you have 5 or more surviving children at the time of confinement."
67,42,PART IX,Restriction on termination  of female employee after eligible period,EN,2,9,Maternity leave protection from termination,"If you remain absent from work after your eligible maternity period ends due to illness certified by a registered medical practitioner arising from pregnancy and confinement, and this makes you unfit for work, it is an offence for your employer to terminate your employment until 90 days after your eligible period expires."
68,59,PART XII,Rest day,EN,2,9,Weekly rest day entitlement,"You are entitled to one full rest day each week as determined by your employer. For shift workers, any continuous period of at least 30 hours constitutes a rest day. Your employer must prepare a monthly roster showing appointed rest days and make it available for inspection. The Director General may permit employers to grant rest days on any day of the month instead of weekly with proper conditions. This does not apply during maternity leave, sick leave, or temporary disablement periods."
69,60,PART XII,Work on rest day,EN,2,9,Rest day work compensation,"You cannot be compelled to work on your rest day unless engaged in continuous work or shift work. If you work on a rest day: for daily/hourly workers - you get 1 day's wages at ordinary rate for work up to half normal hours, or 2 days' wages for work exceeding half but not exceeding normal hours; for monthly/weekly workers - you get wages equivalent to half ordinary rate for work up to half normal hours, or 1 day's wages for work exceeding half but not exceeding normal hours. Any work exceeding normal hours on rest days must be paid at double your hourly rate."
70,60D,PART XII,Holidays,EN,2,1,Public holiday entitlement,"You are entitled to paid holidays at your ordinary rate of pay for at least 11 public holidays per year, including 5 mandatory designated public holidays: National Day, Birthday of Yang di-Pertuan Agong, Birthday of Ruler or Yang di-Pertuan Negeri (depending on your work location), Workers' Day, and Malaysia Day. Your employer can designate the remaining 6 public holidays from other gazetted public holidays. If a public holiday falls on your rest day or another public holiday, the working day immediately following becomes a paid public holiday. Your employer must display a notice specifying the remaining gazetted public holidays at the workplace. If you work on a public holiday, you get additional compensation on top of your normal wages based on your pay structure."
70,60D,PART XII,Holidays,EN,2,9,Public holiday entitlement,"You are entitled to paid holidays at your ordinary rate of pay for at least 11 public holidays per year, including 5 mandatory designated public holidays: National Day, Birthday of Yang di-Pertuan Agong, Birthday of Ruler or Yang di-Pertuan Negeri (depending on your work location), Workers' Day, and Malaysia Day. Your employer can designate the remaining 6 public holidays from other gazetted public holidays. If a public holiday falls on your rest day or another public holiday, the working day immediately following becomes a paid public holiday. Your employer must display a notice specifying the remaining gazetted public holidays at the workplace. If you work on a public holiday, you get additional compensation on top of your normal wages based on your pay structure."
71,60E,PART XII,Annual leave,EN,2,9,Annual leave entitlement,"You are entitled to paid annual leave of: 8 days for every 12 months if employed less than 2 years, 12 days for every 12 months if employed 2-5 years, or 16 days for every 12 months if employed 5+ years. If you haven't completed 12 months of service when your contract ends, your annual leave entitlement is calculated proportionally. Annual leave is in addition to rest days and public holidays. You can carry forward unused annual leave, but if you don't take leave for 12 consecutive months without permission, you lose entitlement to that leave."
72,60F,PART XII,Sick leave,EN,2,9,Sick leave entitlement,"After medical examination at employer's expense, you are entitled to paid sick leave of: 14 days per year if employed less than 2 years, 18 days per year if employed 2-5 years, 22 days per year if employed 5+ years, or 60 days per year if hospitalization is necessary. Sick leave must be certified by a registered medical practitioner or medical officer. If you take uncertified sick leave or fail to inform/attend your employer within 48 hours, you may be absent without permission and without pay."
73,60FA,PART XII,Paternity leave,EN,2,9,Paternity leave,"Married male employees are entitled to paid paternity leave at ordinary rate of pay for 7 consecutive days for each confinement, limited to 5 confinements regardless of number of spouses. To qualify, you must have worked for the same employer for at least 12 months before the leave starts and notify your employer of your spouse's pregnancy at least 30 days before expected confinement or as early as possible after birth."
74,94,PART IX,Under Part IX,EN,2,2,Maternity leave violations,"Your employer commits an offence if they: fail to grant maternity leave when you're entitled, fail to pay maternity allowance to you or your nominee/legal representative, fail to pay maternity allowance in the prescribed manner, or contravene maternity leave protection rules. If convicted, the court can order your employer to pay the maternity allowance you're entitled to in addition to any other penalties."
74,94,PART IX,Under Part IX,EN,2,9,Maternity leave violations,"Your employer commits an offence if they: fail to grant maternity leave when you're entitled, fail to pay maternity allowance to you or your nominee/legal representative, fail to pay maternity allowance in the prescribed manner, or contravene maternity leave protection rules. If convicted, the court can order your employer to pay the maternity allowance you're entitled to in addition to any other penalties."
