"org_id","org_name","service_type","org_email","org_descr_en","state_code","org_url","org_phone_no","org_address","operation_hour","org_en","tag"
"13","Jabatan Bantuan Guaman Melaka","Legal Aid","qaiyyum@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","4","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+606-234 5277","Tingkat 6, Menara Persekutuan, Jalan Persekutuan, MITC, Hang Tuah Jaya, 75450 Ayer Keroh, MELAKA","Monday-Thursday 08:30-13:00 and 14:00-16:30; Friday 08:00-12:15 and 14:45-16:30","Legal Aid Department Malacca (Jabatan Bantuan Guaman Melaka)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"14","Jabatan Bantuan Guaman Miri","Legal Aid","hcling@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","13","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+608-542 3606","Tingkat 13, Lot 97, Wisma Yulan, Jalan Brooke, Peti Surat 2300, 98008 MIRI, SARAWAK","Monday-Thursday 08:00-13:00 and 14:00-17:00; Friday 08:00-11:45 and 14:15-17:00","Legal Aid Department Miri (Jabatan Bantuan Guaman Miri)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"15","Jabatan Bantuan Guaman Muar","Legal Aid","khir.nizam@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","1","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+606-952 2410","Lot 2, Tingkat Mezzanine, Bangunan Muar Trade Centre, No. 16, Jalan Petrie, 84000 Muar, JOHOR","Sunday-Wednesday 08:00-17:00; Thursday 08:00-15:00","Legal Aid Department Muar (Jabatan Bantuan Guaman Muar)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"16","Jabatan Bantuan Guaman Negeri Sembilan","Legal Aid","hanis.jamilludin@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","5","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+606-763 0457","Tingkat 7, Wisma Persekutuan, Jalan Dato' Abdul Kadir, 70000 SEREMBAN, NEGERI SEMBILAN","Monday-Friday 09:00-17:00","Legal Aid Department Negeri Sembilan (Jabatan Bantuan Guaman Negeri Sembilan)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"17","Jabatan Bantuan Guaman Pahang","Legal Aid","zulfazliah.mahmudjbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","6","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+609-516 1135","Tingkat 8, Wisma Persekutuan, Jalan Gambut, PAHANG","Sunday-Wednesday 09:00-17:30; Thursday 09:00-11:30","Legal Aid Department Pahang (Jabatan Bantuan Guaman Pahang)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"18","Jabatan Bantuan Guaman Perak","Legal Aid","hezlin@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","8","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+605-254 4027","Tingkat Bawah, Blok A (A2), Bangunan Persekutuan Ipoh, Jalan Dato' Ahmad Said (Greentown), 30450 IPOH, PERAK","Monday-Friday 08:00-12:00 and 14:00-16:00","Legal Aid Department Perak (Jabatan Bantuan Guaman Perak)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"19","Jabatan Bantuan Guaman Perlis","Legal Aid","aliasuzila@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","9","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+604-976 7739","No. 8, 10, 12, Taman Temak Jaya, Jalan Kangar-Alor Star, 01000 KANGAR, PERLIS","No information available, contact for more detail","Legal Aid Department Perlis (Jabatan Bantuan Guaman Perlis)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"20","Jabatan Bantuan Guaman Pulau Pinang","Legal Aid","manomani@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","7","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+604-210 9100","Aras 4, Bangunan Gunasama Persekutuan, Jalan Anson, 10400 GEORGETOWN, PULAU PINANG","Monday-Friday 08:00-13:00 and 14:00-16:30","Legal Aid Department Pulau Pinang (Jabatan Bantuan Guaman Pulau Pinang)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"21","Jabatan Bantuan Guaman Raub","Legal Aid","azhwa@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","6","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+609-355 3677","Tingkat 2, Bangunan Gunasama Persekutuan, Jalan Tengku Abdul Samad, 27600 RAUB, PAHANG","Monday-Friday 08:00-17:00","Legal Aid Department Raub (Jabatan Bantuan Guaman Raub)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"22","Jabatan Bantuan Guaman Sabah","Legal Aid","herlina.muse@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","12","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+608-848 8434","Aras 2, Menara MAA, No. 6, Lorong Api-Api 1, Peti Surat 11319, 88814 KOTA KINABALU, SABAH","Monday-Thursday 08:00-13:00 and 14:00-16:00; Friday 08:00-11:30 and 14:00-16:00","Legal Aid Department Sabah (Jabatan Bantuan Guaman Sabah)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"23","Jabatan Bantuan Guaman Sarawak","Legal Aid","haffiza.jemali@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","13","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+608-225 8699","Tingkat 6, Bangunan Sultan Iskandar, Jalan Simpang Tiga, 93300 KUCHING, SARAWAK","Monday-Friday 08:00-16:00","Legal Aid Department Sarawak (Jabatan Bantuan Guaman Sarawak)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"24","Jabatan Bantuan Guaman Selangor","Legal Aid","anisah.nor@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","10","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+603-554 5339","Lot F-50, Tingkat 1, Pusat Komersial Ideal Convention Centre (IDCC), Jalan Pahat L 15/L, Seksyen 15, 40200 Shah Alam, Selangor","Monday-Thursday 08:00-13:00 and 14:00-17:00; Friday 08:00-12:15 and 14:45-17:00","Legal Aid Department Selangor (Jabatan Bantuan Guaman Selangor)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"25","Jabatan Bantuan Guaman Sibu","Legal Aid","norhayati.abu@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","13","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+608-434 3978","Tingkat 10 (Section A), Wisma Vasty, Lot. No 445, Blok 5, No.15, Jalan Pulau, 96000 SIBU, SARAWAK","No information available, contact for more detail","Legal Aid Department Sibu (Jabatan Bantuan Guaman Sibu)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"26","Jabatan Bantuan Guaman Taiping","Legal Aid","syuhada@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","8","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+605-808 2701","Tingkat 3, Wisma Persekutuan, Jalan Istana Larut, 34000 TAIPING, PERAK","No information available, contact for more detail","Legal Aid Department Taiping (Jabatan Bantuan Guaman Taiping)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"27","Jabatan Bantuan Guaman Terengganu","Legal Aid","ainfadilla@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","11","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+609-620 3240","Aras 1, Wisma PERKESO, Lot 2467, Jalan Air Jernih,, 20538 KUALA TERENGGANU, TERENGGANU","No information available, contact for more detail","Legal Aid Department Terengganu (Jabatan Bantuan Guaman Terengganu)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"28","Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur","Legal Aid","sazlinidayu@jbggov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","14","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+603-269 4270","Tingkat 28, Menara TH Perdana,,1001 Jalan Sultan Ismail, 50250 Kuala Lumpur.","Monday-Thursday 09:00-12:30 and 14:00-15:30; Friday 09:00-12:00 and 14:45-15:30","Legal Aid Department Wilayah Persekutuan Kuala Lumpur (Jabatan Bantuan Guaman Wilayah Persekutuan Kuala Lumpur)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"29","Jabatan Bantuan Guaman Wilayah Persekutuan Labuan","Legal Aid","norehan.hamid@jbg.gov.my","Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.","15","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+608-741 2242","Tingkat 9(A), Blok 4, Menara Pejabat Ujana Kewangan, Jalan Merdeka, 87018 WILAYAH PERSEKUTUAN LABUAN","Monday-Thursday 08:00-13:00 and 14:00-16:00; Friday 08:00-11:30 and 14:00-16:00","Legal Aid Department Wilayah Persekutuan Labuan (Jabatan Bantuan Guaman Wilayah Persekutuan Labuan)","legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
"30","Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Ibu Pejabat","Health & Wellbeing","projkkp@mohr.gov.my","Occupational safety & health, workplace complaints","16","https://dosh.gov.my/","+603-800 0800","Aras 1, 3, 4 & 5, Setia Perkasa 4, Kompleks Setia Perkasa, Pusat Pentadbiran Kerajaan Persekutuan, 62530 W. P. Putrajaya","Monday-Thursday 08:00-13:00 and 14:00-17:00; Friday 08:00-12:15 and 14:45-17:00","Department of Occupational Safety & Health (DOSH) Headquarters (Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Ibu Pejabat)","govt, appointment, walk-in, EN, MS"
"31","Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Sabah","Health & Wellbeing","projkkp@mohr.gov.my","Occupational safety & health, workplace complaints","12","https://dosh.gov.my/","+608-823 6611","Wisma Perindustrian, Jalan Istiadat, 88400 Kota Kinabalu, Sabah","Monday-Saturday 08:00-17:00","Department of Occupational Safety & Health (DOSH) Sabah (Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Sabah)",
"32","Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Selangor","Health & Wellbeing","projkkp@mohr.gov.my","Occupational safety & health, workplace complaints","10","https://dosh.gov.my/","+603-562 3640","No. 1, Jalan Meru Susur 1, 41050 Klang, Selangor","Monday-Saturday 09:00-18:00","Department of Occupational Safety & Health (DOSH) Selangor (Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Selangor)",
"33","Jabatan Tenaga Kerja (Georgetown)","Housing & Shelter","jtkdgtown@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","7","https://jtksm.mohr.gov.my/ms","+604-262 5536","Tingkat 2, Bangunan Tuanku Syed Putra, Lebuh Downing, 10300 Pulau Pinang","No information available, contact for more detail","Department of Labour (Georgetown) (Jabatan Tenaga Kerja (Georgetown))","wage claim, overtime, rest days, complaints, hostel standards"
"34","Jabatan Tenaga Kerja (Georgetown)","Work","jtkdgtown@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","7","https://jtksm.mohr.gov.my/ms","+604-262 5536","Tingkat 2, Bangunan Tuanku Syed Putra, Lebuh Downing, 10300 Pulau Pinang","No information available, contact for more detail","Department of Labour (Georgetown) (Jabatan Tenaga Kerja (Georgetown))","wage claim, overtime, rest days, complaints, hostel standards"
"35","Jabatan Tenaga Kerja (Johor)","Housing & Shelter","jtknjohor@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","1","https://jtksm.mohr.gov.my/ms","+607-227 5080","Tingkat 3, Blok A, Wisma Persekutuan, Wisma Jalan Ayer Molek, 80000 Johor Bahru, Johor.","No information available, contact for more detail","Department of Labour (Johor) (Jabatan Tenaga Kerja (Johor))","wage claim, overtime, rest days, complaints, hostel standards"
"36","Jabatan Tenaga Kerja (Johor)","Work","jtknjohor@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","1","https://jtksm.mohr.gov.my/ms","+607-227 5080","Tingkat 3, Blok A, Wisma Persekutuan, Wisma Jalan Ayer Molek, 80000 Johor Bahru, Johor.","No information available, contact for more detail","Department of Labour (Johor) (Jabatan Tenaga Kerja (Johor))","wage claim, overtime, rest days, complaints, hostel standards"
"37","Jabatan Tenaga Kerja (Kedah)","Housing & Shelter","jtknkedah@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","2","https://jtksm.mohr.gov.my/ms","+604-732 2655","Aras 5, Zon A, Wisma Persekutuan, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, 06550 Alor Setar, Kedah","Monday-Wednesday 08:00-17:00; Thursday 08:00-15:30","Department of Labour (Kedah) (Jabatan Tenaga Kerja (Kedah))","wage claim, overtime, rest days, complaints, hostel standards"
"38","Jabatan Tenaga Kerja (Kedah)","Work","jtknkedah@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","2","https://jtksm.mohr.gov.my/ms","+604-732 2655","Aras 5, Zon A, Wisma Persekutuan, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, 06550 Alor Setar, Kedah","Monday-Wednesday 08:00-17:00; Thursday 08:00-15:30","Department of Labour (Kedah) (Jabatan Tenaga Kerja (Kedah))","wage claim, overtime, rest days, complaints, hostel standards"
"39","Jabatan Tenaga Kerja (Kelantan)","Housing & Shelter","jtknkelantan@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","3","https://jtksm.mohr.gov.my/ms","+609-748 2506","No. 1, Aras 11, Wisma Persekutuan, Jalan Bayam, 15200 Kota Bharu, Kelantan","No information available, contact for more detail","Department of Labour (Kelantan) (Jabatan Tenaga Kerja (Kelantan))","wage claim, overtime, rest days, complaints, hostel standards"
"40","Jabatan Tenaga Kerja (Kelantan)","Work","jtknkelantan@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","3","https://jtksm.mohr.gov.my/ms","+609-748 2506","No. 1, Aras 11, Wisma Persekutuan, Jalan Bayam, 15200 Kota Bharu, Kelantan","No information available, contact for more detail","Department of Labour (Kelantan) (Jabatan Tenaga Kerja (Kelantan))","wage claim, overtime, rest days, complaints, hostel standards"
"41","Jabatan Tenaga Kerja (Melaka)","Housing & Shelter","jtknmelaka@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","4","https://jtksm.mohr.gov.my/ms","+606-234 5172","Aras 4, Menara Persekutuan, Jalan Wisma Persekutuan, Malacca International Trade Centre, 75450 Ayer Keroh, Malacca","Monday-Friday 08:00-17:00","Department of Labour (Malacca) (Jabatan Tenaga Kerja (Melaka))","wage claim, overtime, rest days, complaints, hostel standards"
"42","Jabatan Tenaga Kerja (Melaka)","Work","jtknmelaka@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","4","https://jtksm.mohr.gov.my/ms","+606-234 5172","Aras 4, Menara Persekutuan, Jalan Wisma Persekutuan, Malacca International Trade Centre, 75450 Ayer Keroh, Malacca","Monday-Friday 08:00-17:00","Department of Labour (Malacca) (Jabatan Tenaga Kerja (Melaka))","wage claim, overtime, rest days, complaints, hostel standards"
"43","Jabatan Tenaga Kerja (Negeri Sembilan)","Housing & Shelter","jtknsembilan@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","5","https://jtksm.mohr.gov.my/ms","+606-763 8997","Wisma Persekutuan, Jalan Dato' Abdul Kadir, Seremban, 70000 Seremban, Negeri Sembilan","No information available, contact for more detail","Department of Labour (Negeri Sembilan) (Jabatan Tenaga Kerja (Negeri Sembilan))","wage claim, overtime, rest days, complaints, hostel standards"
"44","Jabatan Tenaga Kerja (Negeri Sembilan)","Work","jtknsembilan@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","5","https://jtksm.mohr.gov.my/ms","+606-763 8997","Wisma Persekutuan, Jalan Dato' Abdul Kadir, Seremban, 70000 Seremban, Negeri Sembilan","No information available, contact for more detail","Department of Labour (Negeri Sembilan) (Jabatan Tenaga Kerja (Negeri Sembilan))","wage claim, overtime, rest days, complaints, hostel standards"
"45","Jabatan Tenaga Kerja (Pahang)","Housing & Shelter","jtknpahang@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","6","https://jtksm.mohr.gov.my/ms","+609-516 2709","No. 1, Tingkat 2, Bangunan Persekutuan, Jalan Gambut, 25532, 25000 Kuantan, Pahang","Monday-Friday 10:00-17:00","Department of Labour (Pahang) (Jabatan Tenaga Kerja (Pahang))","wage claim, overtime, rest days, complaints, hostel standards"
"46","Jabatan Tenaga Kerja (Pahang)","Work","jtknpahang@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","6","https://jtksm.mohr.gov.my/ms","+609-516 2709","No. 1, Tingkat 2, Bangunan Persekutuan, Jalan Gambut, 25532, 25000 Kuantan, Pahang","Monday-Friday 10:00-17:00","Department of Labour (Pahang) (Jabatan Tenaga Kerja (Pahang))","wage claim, overtime, rest days, complaints, hostel standards"
"47","Jabatan Tenaga Kerja (Perak)","Housing & Shelter","jtknperak@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","8","https://jtksm.mohr.gov.my/ms","+605-254 5271","Jalan Dato' Seri Ahmad Said Bangunan Persekutuan, Persiaran Greentown, 31450 Ipoh, Perak","Monday-Friday 08:00-17:00","Department of Labour (Perak) (Jabatan Tenaga Kerja (Perak))","wage claim, overtime, rest days, complaints, hostel standards"
"48","Jabatan Tenaga Kerja (Perak)","Work","jtknperak@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","8","https://jtksm.mohr.gov.my/ms","+605-254 5271","Jalan Dato' Seri Ahmad Said Bangunan Persekutuan, Persiaran Greentown, 31450 Ipoh, Perak","Monday-Friday 08:00-17:00","Department of Labour (Perak) (Jabatan Tenaga Kerja (Perak))","wage claim, overtime, rest days, complaints, hostel standards"
"49","Jabatan Tenaga Kerja (Perlis)","Housing & Shelter","jtknperlis@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","9","https://jtksm.mohr.gov.my/ms","+604-976 1415","No. 1,Tingkat 1, Bangunan, Jalan Tun Abdul Razak, 01000 Kangar, Perlis","Monday-Friday 08:00-17:00","Department of Labour (Perlis) (Jabatan Tenaga Kerja (Perlis))","wage claim, overtime, rest days, complaints, hostel standards"
"50","Jabatan Tenaga Kerja (Perlis)","Work","jtknperlis@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","9","https://jtksm.mohr.gov.my/ms","+604-976 1415","No. 1,Tingkat 1, Bangunan, Jalan Tun Abdul Razak, 01000 Kangar, Perlis","Monday-Friday 08:00-17:00","Department of Labour (Perlis) (Jabatan Tenaga Kerja (Perlis))","wage claim, overtime, rest days, complaints, hostel standards"
"51","Jabatan Tenaga Kerja (Selangor)","Housing & Shelter","jtknselangor@mohr.gov.my","State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.","10","https://jtksm.mohr.gov.my/ms","+603-563 2880","Wisma Consplant 2, Suite A405-7, Tingkat 3A, West Wing, No. 7, Jalan SS16/1, 47500 Subang Jaya, Selangor","Monday-Thursday 08:00-13:00 and 14:00-16:30; Friday 08:00-12:15 and 14:45-16:30","Department of Labour (Selangor) (Jabatan Tenaga Kerja (Selangor))","wage claim, overtime, rest days, complaints, hostel standards"
